FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,ORIGIN,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DEL15,DEP_DELAY_GROUP,DEP_TIME_BLK,CANCELLED,CANCELLATION_CODE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
4/1/2023 12:00:00 AM,AA,1,JFK,LAX,0725,0722,0.00,-1,0700-0759,0.00,,,,,,
4/1/2023 12:00:00 AM,AA,10,LAX,JFK,2215,0959,1.00,12,2200-2259,0.00,,689.00,0.00,0.00,0.00,0.00
4/1/2023 12:00:00 AM,AA,1009,DFW,SBP,1017,1015,0.00,-1,1000-1059,0.00,,,,,,
4/1/2023 12:00:00 AM,AA,1009,SBP,DFW,1235,1229,0.00,-1,1200-1259,0.00,,,,,,
4/1/2023 12:00:00 AM,AA,1017,DFW,SBP,1913,1908,0.00,-1,1900-1959,0.00,,,,,,
4/1/2023 12:00:00 AM,AA,1019,SJC,DFW,0610,0607,0.00,-1,0600-0659,0.00,,,,,,
4/1/2023 12:00:00 AM,AA,1024,SFO,DFW,2359,0012,0.00,0,2300-2359,0.00,,,,,,
4/1/2023 12:00:00 AM,AA,1029,SBP,DFW,0620,0625,0.00,0,0600-0659,0.00,,,,,,
4/1/2023 12:00:00 AM,AA,1031,LAX,PHL,2225,2327,1.00,4,2200-2259,0.00,,0.00,0.00,0.00,0.00,48.00
4/1/2023 12:00:00 AM,AA,1035,PHX,SMF,1740,1803,1.00,1,1700-1759,0.00,,,,,,
4/1/2023 12:00:00 AM,AA,1052,LAX,ORD,1136,1152,1.00,1,1100-1159,0.00,,,,,,
4/1/2023 12:00:00 AM,AA,1055,SAN,DFW,0715,0822,1.00,4,0700-0759,0.00,,50.00,0.00,0.00,0.00,0.00
4/1/2023 12:00:00 AM,AA,1077,DFW,LAX,0900,0858,0.00,-1,0900-0959,0.00,,,,,,
4/1/2023 12:00:00 AM,AA,1086,LAX,AUS,0951,1248,1.00,11,0900-0959,0.00,,160.00,0.00,0.00,0.00,0.00
4/1/2023 12:00:00 AM,AA,1102,BUR,PHX,1639,1713,1.00,2,1600-1659,0.00,,0.00,0.00,0.00,0.00,30.00
4/1/2023 12:00:00 AM,AA,1116,BNA,LAX,1815,1920,1.00,4,1800-1859,0.00,,9.00,0.00,13.00,0.00,56.00
4/1/2023 12:00:00 AM,AA,1119,PHX,SNA,1650,1653,0.00,0,1600-1659,0.00,,,,,,
4/1/2023 12:00:00 AM,AA,1119,SNA,PHX,1905,1900,0.00,-1,1900-1959,0.00,,,,,,
4/1/2023 12:00:00 AM,AA,1164,SFO,PHX,0832,0823,0.00,-1,0800-0859,0.00,,,,,,
4/1/2023 12:00:00 AM,AA,1168,ORD,SAN,1915,1912,0.00,-1,1900-1959,0.00,,,,,,
4/1/2023 12:00:00 AM,AA,1175,DFW,SFO,1711,1707,0.00,-1,1700-1759,0.00,,,,,,
4/1/2023 12:00:00 AM,AA,1179,ORD,SNA,1957,1953,0.00,-1,1900-1959,0.00,,,,,,
4/1/2023 12:00:00 AM,AA,118,LAX,JFK,0630,0623,0.00,-1,0600-0659,0.00,,,,,,
4/1/2023 12:00:00 AM,AA,1198,SFO,DFW,0600,0557,0.00,-1,0600-0659,0.00,,,,,,
4/1/2023 12:00:00 AM,AA,1208,BUR,DFW,1326,1327,0.00,0,1300-1359,0.00,,,,,,
4/1/2023 12:00:00 AM,AA,1208,DFW,BUR,1112,1123,0.00,0,1100-1159,0.00,,,,,,
4/1/2023 12:00:00 AM,AA,1210,BOS,LAX,2002,1954,0.00,-1,2000-2059,0.00,,,,,,
4/1/2023 12:00:00 AM,AA,1227,DFW,SNA,1859,2006,1.00,4,1800-1859,0.00,,1.00,0.00,0.00,0.00,49.00
4/1/2023 12:00:00 AM,AA,1233,SMF,DFW,0721,0717,0.00,-1,0700-0759,0.00,,,,,,
4/1/2023 12:00:00 AM,AA,1243,DFW,SAN,1857,1901,0.00,0,1800-1859,0.00,,,,,,
4/1/2023 12:00:00 AM,AA,1252,DCA,LAX,1703,1651,0.00,-1,1700-1759,0.00,,,,,,
4/1/2023 12:00:00 AM,AA,1253,SFO,ORD,2341,2348,0.00,0,2300-2359,0.00,,,,,,
4/1/2023 12:00:00 AM,AA,1265,PHL,LAX,1341,1614,1.00,10,1300-1359,0.00,,10.00,0.00,0.00,0.00,127.00
4/1/2023 12:00:00 AM,AA,1271,LAX,ORD,1230,1253,1.00,1,1200-1259,0.00,,6.00,0.00,0.00,0.00,9.00
4/1/2023 12:00:00 AM,AA,1275,DCA,LAX,0850,0844,0.00,-1,0800-0859,0.00,,,,,,
4/1/2023 12:00:00 AM,AA,1310,ONT,DFW,2359,0137,1.00,6,2300-2359,0.00,,1.00,0.00,0.00,0.00,75.00
4/1/2023 12:00:00 AM,AA,1315,PHL,LAX,0821,0822,0.00,0,0800-0859,0.00,,0.00,1.00,24.00,0.00,0.00
4/1/2023 12:00:00 AM,AA,1318,PHX,PSP,1025,1021,0.00,-1,1000-1059,0.00,,,,,,
4/1/2023 12:00:00 AM,AA,1318,PSP,PHX,1250,1241,0.00,-1,1200-1259,0.00,,,,,,
4/1/2023 12:00:00 AM,AA,1330,PHX,LAX,1004,1002,0.00,-1,1000-1059,0.00,,,,,,
4/1/2023 12:00:00 AM,AA,1331,DFW,LAX,1300,1554,1.00,11,1300-1359,0.00,,156.00,0.00,0.00,0.00,0.00
4/1/2023 12:00:00 AM,AA,1331,LAX,DFW,1530,1603,1.00,2,1500-1559,0.00,,6.00,0.00,0.00,0.00,20.00
4/1/2023 12:00:00 AM,AA,1339,LAX,ORD,0600,0558,0.00,-1,0600-0659,0.00,,,,,,
4/1/2023 12:00:00 AM,AA,1348,PHX,PSP,1400,1355,0.00,-1,1400-1459,0.00,,,,,,
4/1/2023 12:00:00 AM,AA,1348,PSP,PHX,1605,1600,0.00,-1,1600-1659,0.00,,,,,,
4/1/2023 12:00:00 AM,AA,1364,CLT,LAX,1100,1123,1.00,1,1100-1159,0.00,,0.00,8.00,42.00,0.00,15.00
4/1/2023 12:00:00 AM,AA,1375,ORD,LAX,1526,1523,0.00,-1,1500-1559,0.00,,,,,,
4/1/2023 12:00:00 AM,AA,1376,BOS,LAX,0815,0809,0.00,-1,0800-0859,0.00,,,,,,
4/1/2023 12:00:00 AM,AA,1381,DFW,FAT,1918,1920,0.00,0,1900-1959,0.00,,,,,,
4/1/2023 12:00:00 AM,AA,1382,SNA,DFW,0645,0642,0.00,-1,0600-0659,0.00,,,,,,
4/1/2023 12:00:00 AM,AA,1384,ORD,LAX,1752,1824,1.00,2,1700-1759,0.00,,8.00,0.00,0.00,0.00,8.00
4/1/2023 12:00:00 AM,AA,1393,ATL,LAX,1739,1755,1.00,1,1700-1759,0.00,,,,,,
4/1/2023 12:00:00 AM,AA,1399,DFW,SAN,2115,2113,0.00,-1,2100-2159,0.00,,,,,,
4/1/2023 12:00:00 AM,AA,1405,SBA,PHX,1300,1313,0.00,0,1300-1359,0.00,,0.00,0.00,2.00,0.00,13.00
4/1/2023 12:00:00 AM,AA,1412,ONT,DFW,0645,0646,0.00,0,0600-0659,0.00,,,,,,
4/1/2023 12:00:00 AM,AA,1413,LAX,MIA,0115,0132,1.00,1,0001-0559,0.00,,,,,,
4/1/2023 12:00:00 AM,AA,1430,DFW,SFO,1859,1857,0.00,-1,1800-1859,0.00,,,,,,
4/1/2023 12:00:00 AM,AA,1432,SNA,AUS,1755,1750,0.00,-1,1700-1759,0.00,,,,,,
4/1/2023 12:00:00 AM,AA,144,HNL,LAX,2257,2249,0.00,-1,2200-2259,0.00,,,,,,
4/1/2023 12:00:00 AM,AA,1440,ORD,SMF,1946,2038,1.00,3,1900-1959,0.00,,0.00,0.00,0.00,0.00,37.00
4/1/2023 12:00:00 AM,AA,1448,LAX,MCO,0830,0830,0.00,0,0800-0859,0.00,,,,,,
4/1/2023 12:00:00 AM,AA,1467,LAX,CLT,1129,1139,0.00,0,1100-1159,0.00,,,,,,
4/1/2023 12:00:00 AM,AA,1480,HNL,LAX,0700,0653,0.00,-1,0700-0759,0.00,,,,,,
4/1/2023 12:00:00 AM,AA,1483,DFW,SBA,1854,1848,0.00,-1,1800-1859,0.00,,,,,,
4/1/2023 12:00:00 AM,AA,1497,PHX,BUR,1412,1509,1.00,3,1400-1459,0.00,,0.00,0.00,0.00,0.00,45.00
4/1/2023 12:00:00 AM,AA,1502,ORD,LAX,1703,1725,1.00,1,1700-1759,0.00,,,,,,
4/1/2023 12:00:00 AM,AA,1504,LAX,ORD,1645,1647,0.00,0,1600-1659,0.00,,,,,,
4/1/2023 12:00:00 AM,AA,1534,ONT,DFW,0758,0753,0.00,-1,0700-0759,0.00,,,,,,
4/1/2023 12:00:00 AM,AA,1535,LAX,RDU,2230,2227,0.00,-1,2200-2259,0.00,,,,,,
4/1/2023 12:00:00 AM,AA,1543,ORD,SAN,1842,1839,0.00,-1,1800-1859,0.00,,,,,,
4/1/2023 12:00:00 AM,AA,1544,SMF,DFW,0600,0556,0.00,-1,0600-0659,0.00,,,,,,
4/1/2023 12:00:00 AM,AA,1580,CLT,SFO,2012,2009,0.00,-1,2000-2059,0.00,,,,,,
4/1/2023 12:00:00 AM,AA,1598,LAX,ORD,0800,0756,0.00,-1,0800-0859,0.00,,,,,,
4/1/2023 12:00:00 AM,AA,16,SFO,JFK,1045,1038,0.00,-1,1000-1059,0.00,,,,,,
4/1/2023 12:00:00 AM,AA,1614,SFO,DFW,1238,1307,1.00,1,1200-1259,0.00,,,,,,
4/1/2023 12:00:00 AM,AA,162,HNL,LAX,1253,1251,0.00,-1,1200-1259,0.00,,,,,,
4/1/2023 12:00:00 AM,AA,1621,PHL,SAN,0905,0901,0.00,-1,0900-0959,0.00,,,,,,
4/1/2023 12:00:00 AM,AA,1651,SAN,CLT,0745,0742,0.00,-1,0700-0759,0.00,,,,,,
4/1/2023 12:00:00 AM,AA,1674,CLT,LAX,0725,0754,1.00,1,0700-0759,0.00,,29.00,0.00,26.00,0.00,0.00
4/1/2023 12:00:00 AM,AA,1686,BUR,PHX,1225,1219,0.00,-1,1200-1259,0.00,,,,,,
4/1/2023 12:00:00 AM,AA,1686,PHX,BUR,0955,0950,0.00,-1,0900-0959,0.00,,,,,,
4/1/2023 12:00:00 AM,AA,1688,ONT,PHX,0600,0555,0.00,-1,0600-0659,0.00,,,,,,
4/1/2023 12:00:00 AM,AA,171,JFK,LAX,0600,0553,0.00,-1,0600-0659,0.00,,,,,,
4/1/2023 12:00:00 AM,AA,1721,CLT,LAX,0900,0912,0.00,0,0900-0959,0.00,,12.00,0.00,10.00,0.00,0.00
4/1/2023 12:00:00 AM,AA,1733,MIA,LAX,1224,1220,0.00,-1,1200-1259,0.00,,,,,,
4/1/2023 12:00:00 AM,AA,1734,DFW,SAN,1959,1956,0.00,-1,1900-1959,0.00,,,,,,
4/1/2023 12:00:00 AM,AA,1740,CLT,SAN,1817,2048,1.00,10,1800-1859,0.00,,1.00,0.00,1.00,0.00,150.00
4/1/2023 12:00:00 AM,AA,1748,PHX,SNA,1030,1044,0.00,0,1000-1059,0.00,,,,,,
4/1/2023 12:00:00 AM,AA,1748,SNA,PHX,1246,1252,0.00,0,1200-1259,0.00,,0.00,0.00,13.00,0.00,6.00
4/1/2023 12:00:00 AM,AA,1751,FAT,PHX,1251,1334,1.00,2,1200-1259,0.00,,39.00,0.00,0.00,0.00,0.00
4/1/2023 12:00:00 AM,AA,1751,PHX,FAT,1006,1012,0.00,0,1000-1059,0.00,,,,,,
4/1/2023 12:00:00 AM,AA,1763,LAX,LAS,2045,2037,0.00,-1,2000-2059,0.00,,,,,,
4/1/2023 12:00:00 AM,AA,1765,SAN,DFW,0815,0816,0.00,0,0800-0859,0.00,,,,,,
4/1/2023 12:00:00 AM,AA,177,JFK,SFO,2105,2149,1.00,2,2100-2159,0.00,,0.00,44.00,29.00,0.00,0.00
4/1/2023 12:00:00 AM,AA,1770,DFW,FAT,0903,0900,0.00,-1,0900-0959,0.00,,,,,,
4/1/2023 12:00:00 AM,AA,1770,FAT,DFW,1133,1127,0.00,-1,1100-1159,0.00,,,,,,
4/1/2023 12:00:00 AM,AA,1779,BFL,DFW,1350,2156,1.00,12,1300-1359,0.00,,34.00,0.00,0.00,0.00,428.00
4/1/2023 12:00:00 AM,AA,1779,DFW,BFL,1141,1916,1.00,12,1100-1159,0.00,,58.00,0.00,0.00,0.00,388.00
4/1/2023 12:00:00 AM,AA,1783,SFO,CLT,2217,2210,0.00,-1,2200-2259,0.00,,,,,,
4/1/2023 12:00:00 AM,AA,1820,DFW,ONT,0845,0844,0.00,-1,0800-0859,0.00,,,,,,
4/1/2023 12:00:00 AM,AA,1820,ONT,DFW,1057,1049,0.00,-1,1000-1059,0.00,,,,,,
4/1/2023 12:00:00 AM,AA,184,LAX,JFK,1510,1516,0.00,0,1500-1559,0.00,,,,,,
4/1/2023 12:00:00 AM,AA,1847,CLT,ONT,1915,2009,1.00,3,1900-1959,0.00,,22.00,0.00,0.00,0.00,19.00
