FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,ORIGIN,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DEL15,DEP_DELAY_GROUP,DEP_TIME_BLK,CANCELLED,CANCELLATION_CODE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
8/1/2023 12:00:00 AM,AA,1,JFK,LAX,0600,0658,1.00,3,0600-0659,0.00,,47.00,0.00,0.00,0.00,0.00
8/1/2023 12:00:00 AM,AA,10,LAX,JFK,2045,2155,1.00,4,2000-2059,0.00,,39.00,0.00,0.00,0.00,10.00
8/1/2023 12:00:00 AM,AA,1005,BFL,DFW,1249,1317,1.00,1,1200-1259,0.00,,0.00,0.00,2.00,0.00,28.00
8/1/2023 12:00:00 AM,AA,1005,DFW,BFL,1051,1132,1.00,2,1000-1059,0.00,,29.00,0.00,0.00,0.00,0.00
8/1/2023 12:00:00 AM,AA,1019,SJC,DFW,0610,0605,0.00,-1,0600-0659,0.00,,,,,,
8/1/2023 12:00:00 AM,AA,1021,LAX,ORD,0603,0603,0.00,0,0600-0659,0.00,,,,,,
8/1/2023 12:00:00 AM,AA,1024,DFW,BFL,2247,2242,0.00,-1,2200-2259,0.00,,,,,,
8/1/2023 12:00:00 AM,AA,1039,DFW,LAX,1500,1500,0.00,0,1500-1559,0.00,,,,,,
8/1/2023 12:00:00 AM,AA,1041,PHL,LAX,2045,2039,0.00,-1,2000-2059,0.00,,,,,,
8/1/2023 12:00:00 AM,AA,1055,SAN,DFW,0620,0614,0.00,-1,0600-0659,0.00,,,,,,
8/1/2023 12:00:00 AM,AA,1077,SFO,JFK,1335,1350,1.00,1,1300-1359,0.00,,,,,,
8/1/2023 12:00:00 AM,AA,1114,LAX,MIA,0800,0800,0.00,0,0800-0859,0.00,,,,,,
8/1/2023 12:00:00 AM,AA,1116,ONT,DFW,0042,0122,1.00,2,0001-0559,0.00,,7.00,0.00,0.00,0.00,17.00
8/1/2023 12:00:00 AM,AA,1146,LAX,CLT,0726,0723,0.00,-1,0700-0759,0.00,,,,,,
8/1/2023 12:00:00 AM,AA,1160,PHX,LAX,1129,1205,1.00,2,1100-1159,0.00,,21.00,0.00,0.00,0.00,0.00
8/1/2023 12:00:00 AM,AA,1161,SBP,DFW,0600,0557,0.00,-1,0600-0659,0.00,,,,,,
8/1/2023 12:00:00 AM,AA,117,JFK,LAX,1759,1757,0.00,-1,1700-1759,0.00,,,,,,
8/1/2023 12:00:00 AM,AA,1175,DFW,SFO,1656,1824,1.00,5,1600-1659,0.00,,13.00,0.00,0.00,0.00,67.00
8/1/2023 12:00:00 AM,AA,1179,ORD,SNA,1724,1720,0.00,-1,1700-1759,0.00,,,,,,
8/1/2023 12:00:00 AM,AA,118,LAX,JFK,0713,0711,0.00,-1,0700-0759,0.00,,,,,,
8/1/2023 12:00:00 AM,AA,1180,SBP,DFW,1227,1222,0.00,-1,1200-1259,0.00,,,,,,
8/1/2023 12:00:00 AM,AA,1198,SFO,DFW,0600,1341,1.00,12,0600-0659,0.00,,0.00,0.00,0.00,0.00,454.00
8/1/2023 12:00:00 AM,AA,1208,BUR,DFW,1301,1314,0.00,0,1300-1359,0.00,,,,,,
8/1/2023 12:00:00 AM,AA,1208,DFW,BUR,1051,1105,0.00,0,1000-1059,0.00,,14.00,0.00,9.00,0.00,0.00
8/1/2023 12:00:00 AM,AA,1227,DFW,SNA,1753,1749,0.00,-1,1700-1759,0.00,,,,,,
8/1/2023 12:00:00 AM,AA,1233,SMF,DFW,0715,0712,0.00,-1,0700-0759,0.00,,,,,,
