FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,ORIGIN,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DEL15,DEP_DELAY_GROUP,DEP_TIME_BLK,CANCELLED,CANCELLATION_CODE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
12/1/2023 12:00:00 AM,AA,1,JFK,LAX,0700,0658,0.00,-1,0700-0759,0.00,,,,,,
12/1/2023 12:00:00 AM,AA,10,LAX,JFK,2138,2149,0.00,0,2100-2159,0.00,,,,,,
12/1/2023 12:00:00 AM,AA,1032,FAT,PHX,1000,0953,0.00,-1,1000-1059,0.00,,,,,,
12/1/2023 12:00:00 AM,AA,1032,PHX,FAT,0830,0821,0.00,-1,0800-0859,0.00,,,,,,
12/1/2023 12:00:00 AM,AA,1036,CLT,LAX,1825,1824,0.00,-1,1800-1859,0.00,,0.00,0.00,16.00,0.00,0.00
12/1/2023 12:00:00 AM,AA,1036,LAX,CLT,2359,2357,0.00,-1,2300-2359,0.00,,,,,,
12/1/2023 12:00:00 AM,AA,1051,LAX,PHL,0800,1402,1.00,12,0800-0859,0.00,,0.00,0.00,0.00,0.00,347.00
12/1/2023 12:00:00 AM,AA,1087,BFL,DFW,0514,0600,1.00,3,0001-0559,0.00,,30.00,0.00,0.00,0.00,0.00
12/1/2023 12:00:00 AM,AA,1110,DFW,BFL,1900,1905,0.00,0,1900-1959,0.00,,5.00,0.00,18.00,0.00,0.00
12/1/2023 12:00:00 AM,AA,1138,PHL,LAX,1830,1829,0.00,-1,1800-1859,0.00,,0.00,0.00,19.00,0.00,0.00
12/1/2023 12:00:00 AM,AA,1146,LAX,CLT,0719,0712,0.00,-1,0700-0759,0.00,,,,,,
12/1/2023 12:00:00 AM,AA,1162,DCA,LAX,1738,1734,0.00,-1,1700-1759,0.00,,,,,,
12/1/2023 12:00:00 AM,AA,117,JFK,LAX,2000,1959,0.00,-1,2000-2059,0.00,,,,,,
12/1/2023 12:00:00 AM,AA,1179,ORD,SFO,1901,1908,0.00,0,1900-1959,0.00,,7.00,0.00,10.00,0.00,0.00
12/1/2023 12:00:00 AM,AA,118,LAX,JFK,0700,0653,0.00,-1,0700-0759,0.00,,,,,,
12/1/2023 12:00:00 AM,AA,1197,SMF,DFW,2359,0001,0.00,0,2300-2359,0.00,,,,,,
12/1/2023 12:00:00 AM,AA,1198,SFO,DFW,0544,0536,0.00,-1,0001-0559,0.00,,,,,,
12/1/2023 12:00:00 AM,AA,1199,DFW,FAT,2115,2109,0.00,-1,2100-2159,0.00,,,,,,
12/1/2023 12:00:00 AM,AA,1199,FAT,DFW,2359,2350,0.00,-1,2300-2359,0.00,,,,,,
12/1/2023 12:00:00 AM,AA,1208,BUR,DFW,1226,1236,0.00,0,1200-1259,0.00,,,,,,
