FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,ORIGIN,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,DEP_DELAY_GROUP,DEP_TIME_BLK,CANCELLED,CANCELLATION_CODE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
12/1/2024 12:00:00 AM,AA,1,JFK,LAX,0659,0755,56.00,3,0600-0659,0.00,,35.00,0.00,0.00,0.00,0.00
12/1/2024 12:00:00 AM,AA,10,LAX,JFK,2206,2200,-6.00,-1,2200-2259,0.00,,,,,,
12/1/2024 12:00:00 AM,AA,1055,DFW,SAN,1127,1126,-1.00,-1,1100-1159,0.00,,,,,,
12/1/2024 12:00:00 AM,AA,1087,BFL,DFW,0517,0514,-3.00,-1,0001-0559,0.00,,,,,,
12/1/2024 12:00:00 AM,AA,1098,MIA,LAX,0727,0730,3.00,0,0700-0759,0.00,,,,,,
12/1/2024 12:00:00 AM,AA,1110,DFW,BFL,1936,1936,0.00,0,1900-1959,0.00,,,,,,
12/1/2024 12:00:00 AM,AA,1121,SFO,MIA,1258,1302,4.00,0,1200-1259,0.00,,,,,,
12/1/2024 12:00:00 AM,AA,1134,ORD,LAX,1800,1802,2.00,0,1800-1859,0.00,,,,,,
12/1/2024 12:00:00 AM,AA,1149,MIA,SAN,1608,1604,-4.00,-1,1600-1659,0.00,,0.00,0.00,32.00,0.00,0.00
12/1/2024 12:00:00 AM,AA,1150,SAN,MIA,2215,2211,-4.00,-1,2200-2259,0.00,,,,,,
12/1/2024 12:00:00 AM,AA,1162,DCA,LAX,1730,1739,9.00,0,1700-1759,0.00,,,,,,
12/1/2024 12:00:00 AM,AA,117,JFK,LAX,1950,1958,8.00,0,1900-1959,0.00,,,,,,
12/1/2024 12:00:00 AM,AA,1175,LAX,MIA,0800,0757,-3.00,-1,0800-0859,0.00,,,,,,
12/1/2024 12:00:00 AM,AA,1179,ORD,SNA,1712,1709,-3.00,-1,1700-1759,0.00,,,,,,
12/1/2024 12:00:00 AM,AA,118,LAX,JFK,0605,0633,28.00,1,0600-0659,0.00,,,,,,
12/1/2024 12:00:00 AM,AA,1193,ONT,CLT,2238,2239,1.00,0,2200-2259,0.00,,,,,,
12/1/2024 12:00:00 AM,AA,1198,SFO,DFW,0600,0556,-4.00,-1,0600-0659,0.00,,,,,,
12/1/2024 12:00:00 AM,AA,1199,DFW,FAT,2059,2128,29.00,1,2000-2059,0.00,,,,,,
12/1/2024 12:00:00 AM,AA,1208,BUR,DFW,1237,1230,-7.00,-1,1200-1259,0.00,,,,,,
12/1/2024 12:00:00 AM,AA,1208,DFW,BUR,1004,1002,-2.00,-1,1000-1059,0.00,,,,,,
12/1/2024 12:00:00 AM,AA,1238,PHX,ONT,2142,2140,-2.00,-1,2100-2159,0.00,,,,,,
12/1/2024 12:00:00 AM,AA,1252,DFW,SMF,1752,1814,22.00,1,1700-1759,0.00,,,,,,
12/1/2024 12:00:00 AM,AA,1253,ORD,SFO,1201,1450,169.00,11,1200-1259,0.00,,1.00,0.00,0.00,0.00,165.00
12/1/2024 12:00:00 AM,AA,1264,SFO,DFW,1600,1606,6.00,0,1600-1659,0.00,,6.00,0.00,15.00,0.00,0.00
12/1/2024 12:00:00 AM,AA,1278,PHL,SAN,1630,1623,-7.00,-1,1600-1659,0.00,,,,,,
