FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,ORIGIN,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DEL15,DEP_DELAY_GROUP,DEP_TIME_BLK,CANCELLED,CANCELLATION_CODE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
2/1/2023 12:00:00 AM,AA,1,JFK,LAX,0730,0722,0.00,-1,0700-0759,0.00,,0.00,0.00,16.00,0.00,0.00
2/1/2023 12:00:00 AM,AA,10,LAX,JFK,2215,2212,0.00,-1,2200-2259,0.00,,,,,,
2/1/2023 12:00:00 AM,AA,1009,DFW,SBP,1015,,,,1000-1059,1.00,B,,,,,
2/1/2023 12:00:00 AM,AA,1009,SBP,DFW,1235,,,,1200-1259,1.00,B,,,,,
2/1/2023 12:00:00 AM,AA,1017,DFW,SBP,1930,,,,1900-1959,1.00,B,,,,,
2/1/2023 12:00:00 AM,AA,1019,SJC,DFW,0610,,,,0600-0659,1.00,B,,,,,
2/1/2023 12:00:00 AM,AA,1024,SFO,DFW,1610,,,,1600-1659,1.00,B,,,,,
2/1/2023 12:00:00 AM,AA,1029,SBP,DFW,0619,,,,0600-0659,1.00,B,,,,,
2/1/2023 12:00:00 AM,AA,1031,LAX,MIA,1005,0959,0.00,-1,1000-1059,0.00,,,,,,
2/1/2023 12:00:00 AM,AA,1049,CLT,SFO,1830,1843,0.00,0,1800-1859,0.00,,,,,,
2/1/2023 12:00:00 AM,AA,1052,LAX,ORD,1100,1059,0.00,-1,1100-1159,0.00,,,,,,
2/1/2023 12:00:00 AM,AA,1055,SAN,DFW,0714,,,,0700-0759,1.00,B,,,,,
2/1/2023 12:00:00 AM,AA,1074,DFW,LAX,0900,1110,1.00,8,0900-0959,0.00,,0.00,128.00,25.00,0.00,2.00
2/1/2023 12:00:00 AM,AA,1086,LAX,AUS,1218,1340,1.00,5,1200-1259,0.00,,2.00,0.00,11.00,0.00,80.00
2/1/2023 12:00:00 AM,AA,1095,IND,LAX,1704,1908,1.00,8,1700-1759,0.00,,22.00,0.00,0.00,0.00,90.00
2/1/2023 12:00:00 AM,AA,1103,LAX,DFW,1630,,,,1600-1659,1.00,B,,,,,
2/1/2023 12:00:00 AM,AA,1116,BNA,LAX,1545,1604,1.00,1,1500-1559,0.00,,,,,,
2/1/2023 12:00:00 AM,AA,1117,CLT,LAX,1515,1647,1.00,6,1500-1559,0.00,,92.00,0.00,0.00,0.00,0.00
2/1/2023 12:00:00 AM,AA,1119,PHX,SNA,1749,,,,1700-1759,1.00,B,,,,,
2/1/2023 12:00:00 AM,AA,1119,SNA,PHX,1910,,,,1900-1959,1.00,B,,,,,
2/1/2023 12:00:00 AM,AA,1175,DFW,SFO,1711,,,,1700-1759,1.00,B,,,,,
2/1/2023 12:00:00 AM,AA,1176,SAN,MIA,2230,2230,0.00,0,2200-2259,0.00,,,,,,
2/1/2023 12:00:00 AM,AA,1179,ORD,SNA,1925,1934,0.00,0,1900-1959,0.00,,,,,,
2/1/2023 12:00:00 AM,AA,118,LAX,JFK,0611,0606,0.00,-1,0600-0659,0.00,,,,,,
2/1/2023 12:00:00 AM,AA,1198,SFO,DFW,0600,,,,0600-0659,1.00,B,,,,,
2/1/2023 12:00:00 AM,AA,1208,BUR,DFW,1315,,,,1300-1359,1.00,B,,,,,
2/1/2023 12:00:00 AM,AA,1208,DFW,BUR,1052,,,,1000-1059,1.00,B,,,,,
2/1/2023 12:00:00 AM,AA,1224,SFO,PHL,0615,0604,0.00,-1,0600-0659,0.00,,,,,,
2/1/2023 12:00:00 AM,AA,1227,DFW,SNA,1910,,,,1900-1959,1.00,B,,,,,
2/1/2023 12:00:00 AM,AA,1228,MIA,LAX,0850,0849,0.00,-1,0800-0859,0.00,,,,,,
2/1/2023 12:00:00 AM,AA,1233,SMF,DFW,0730,,,,0700-0759,1.00,B,,,,,
2/1/2023 12:00:00 AM,AA,1243,DFW,SAN,1857,,,,1800-1859,1.00,B,,,,,
2/1/2023 12:00:00 AM,AA,1252,DCA,LAX,1700,1656,0.00,-1,1700-1759,0.00,,,,,,
2/1/2023 12:00:00 AM,AA,1253,SFO,ORD,2345,2336,0.00,-1,2300-2359,0.00,,,,,,
2/1/2023 12:00:00 AM,AA,1264,DFW,SAN,2125,,,,2100-2159,1.00,B,,,,,
2/1/2023 12:00:00 AM,AA,1271,BUR,PHX,1200,1148,0.00,-1,1200-1259,0.00,,,,,,
2/1/2023 12:00:00 AM,AA,1271,PHX,BUR,1043,1041,0.00,-1,1000-1059,0.00,,,,,,
2/1/2023 12:00:00 AM,AA,1275,DCA,LAX,0845,0849,0.00,0,0800-0859,0.00,,4.00,0.00,59.00,0.00,0.00
2/1/2023 12:00:00 AM,AA,1306,BFL,PHX,0600,0557,0.00,-1,0600-0659,0.00,,,,,,
2/1/2023 12:00:00 AM,AA,1312,FAT,PHX,1617,1612,0.00,-1,1600-1659,0.00,,,,,,
2/1/2023 12:00:00 AM,AA,1312,PHX,FAT,1455,1447,0.00,-1,1400-1459,0.00,,,,,,
2/1/2023 12:00:00 AM,AA,1315,PHL,LAX,0830,0827,0.00,-1,0800-0859,0.00,,0.00,0.00,23.00,0.00,0.00
2/1/2023 12:00:00 AM,AA,1316,PHX,BFL,2120,2113,0.00,-1,2100-2159,0.00,,,,,,
2/1/2023 12:00:00 AM,AA,1330,PHX,LAX,1110,1150,1.00,2,1100-1159,0.00,,0.00,0.00,0.00,0.00,32.00
2/1/2023 12:00:00 AM,AA,1331,LAX,DFW,1530,,,,1500-1559,1.00,B,,,,,
