FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,ORIGIN,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,DEP_DELAY_GROUP,DEP_TIME_BLK,CANCELLED,CANCELLATION_CODE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
2/1/2024 12:00:00 AM,AA,1,JFK,LAX,0700,0658,-2.00,-1,0700-0759,0.00,,,,,,
2/1/2024 12:00:00 AM,AA,10,LAX,JFK,2140,2207,27.00,1,2100-2159,0.00,,20.00,0.00,0.00,0.00,0.00
2/1/2024 12:00:00 AM,AA,1009,SAN,PHX,1939,2004,25.00,1,1900-1959,0.00,,0.00,0.00,0.00,0.00,22.00
2/1/2024 12:00:00 AM,AA,1019,SJC,DFW,0610,0607,-3.00,-1,0600-0659,0.00,,,,,,
2/1/2024 12:00:00 AM,AA,1023,LAX,DFW,1130,1131,1.00,0,1100-1159,0.00,,1.00,0.00,17.00,0.00,0.00
2/1/2024 12:00:00 AM,AA,1047,PHX,SJC,2143,2136,-7.00,-1,2100-2159,0.00,,,,,,
2/1/2024 12:00:00 AM,AA,106,MIA,LAX,1950,1950,0.00,0,1900-1959,0.00,,,,,,
2/1/2024 12:00:00 AM,AA,1087,BFL,DFW,0515,0541,26.00,1,0001-0559,0.00,,,,,,
2/1/2024 12:00:00 AM,AA,1110,DFW,BFL,1904,1904,0.00,0,1900-1959,0.00,,,,,,
2/1/2024 12:00:00 AM,AA,1162,DCA,LAX,1738,1733,-5.00,-1,1700-1759,0.00,,,,,,
2/1/2024 12:00:00 AM,AA,1169,CLT,LAX,2035,2030,-5.00,-1,2000-2059,0.00,,,,,,
2/1/2024 12:00:00 AM,AA,117,JFK,LAX,2000,2007,7.00,0,2000-2059,0.00,,,,,,
2/1/2024 12:00:00 AM,AA,1179,ORD,SNA,1830,1831,1.00,0,1800-1859,0.00,,,,,,
2/1/2024 12:00:00 AM,AA,118,LAX,JFK,0700,1032,212.00,12,0700-0759,0.00,,212.00,0.00,2.00,0.00,0.00
2/1/2024 12:00:00 AM,AA,1193,FAT,PHX,1633,1625,-8.00,-1,1600-1659,0.00,,0.00,0.00,45.00,0.00,0.00
2/1/2024 12:00:00 AM,AA,1193,PHX,FAT,1501,1455,-6.00,-1,1500-1559,0.00,,,,,,
2/1/2024 12:00:00 AM,AA,1197,SMF,DFW,2359,2352,-7.00,-1,2300-2359,0.00,,,,,,
2/1/2024 12:00:00 AM,AA,1198,SFO,DFW,0600,0604,4.00,0,0600-0659,0.00,,,,,,
2/1/2024 12:00:00 AM,AA,1208,BUR,DFW,1223,1218,-5.00,-1,1200-1259,0.00,,0.00,0.00,25.00,0.00,0.00
2/1/2024 12:00:00 AM,AA,1208,DFW,BUR,1005,1004,-1.00,-1,1000-1059,0.00,,,,,,
2/1/2024 12:00:00 AM,AA,1216,LAX,CLT,1330,1326,-4.00,-1,1300-1359,0.00,,,,,,
2/1/2024 12:00:00 AM,AA,1234,TPA,LAX,0651,0645,-6.00,-1,0600-0659,0.00,,,,,,
2/1/2024 12:00:00 AM,AA,1238,PHX,ONT,2212,2205,-7.00,-1,2200-2259,0.00,,,,,,
2/1/2024 12:00:00 AM,AA,1242,CLT,SFO,1833,1830,-3.00,-1,1800-1859,0.00,,,,,,
2/1/2024 12:00:00 AM,AA,1243,DFW,SAN,1859,1906,7.00,0,1800-1859,0.00,,,,,,
2/1/2024 12:00:00 AM,AA,1253,ORD,SFO,1340,1357,17.00,1,1300-1359,0.00,,,,,,
2/1/2024 12:00:00 AM,AA,1264,DFW,SFO,1135,1138,3.00,0,1100-1159,0.00,,,,,,
2/1/2024 12:00:00 AM,AA,1278,SAN,PHL,2139,2129,-10.00,-1,2100-2159,0.00,,,,,,
2/1/2024 12:00:00 AM,AA,1291,AUS,LAX,2012,2008,-4.00,-1,2000-2059,0.00,,0.00,0.00,32.00,0.00,0.00
2/1/2024 12:00:00 AM,AA,1292,LAX,BNA,1005,1004,-1.00,-1,1000-1059,0.00,,,,,,
2/1/2024 12:00:00 AM,AA,1331,DFW,SNA,0703,0655,-8.00,-1,0700-0759,0.00,,,,,,
2/1/2024 12:00:00 AM,AA,1331,SNA,DFW,0926,0924,-2.00,-1,0900-0959,0.00,,,,,,
2/1/2024 12:00:00 AM,AA,1381,DFW,FAT,1722,1718,-4.00,-1,1700-1759,0.00,,,,,,
2/1/2024 12:00:00 AM,AA,1382,SNA,DFW,0645,0638,-7.00,-1,0600-0659,0.00,,,,,,
2/1/2024 12:00:00 AM,AA,1384,ORD,LAX,2037,2225,108.00,7,2000-2059,0.00,,77.00,0.00,0.00,0.00,0.00
2/1/2024 12:00:00 AM,AA,1393,BNA,LAX,0730,0725,-5.00,-1,0700-0759,0.00,,,,,,
2/1/2024 12:00:00 AM,AA,1412,ONT,DFW,0600,0553,-7.00,-1,0600-0659,0.00,,,,,,
2/1/2024 12:00:00 AM,AA,143,LAX,HNL,1517,1645,88.00,5,1500-1559,0.00,,0.00,0.00,29.00,0.00,88.00
2/1/2024 12:00:00 AM,AA,1430,DFW,SFO,1851,1930,39.00,2,1800-1859,0.00,,0.00,0.00,65.00,0.00,0.00
2/1/2024 12:00:00 AM,AA,144,HNL,LAX,2250,2249,-1.00,-1,2200-2259,0.00,,,,,,
2/1/2024 12:00:00 AM,AA,1446,DFW,LAX,2125,2126,1.00,0,2100-2159,0.00,,,,,,
2/1/2024 12:00:00 AM,AA,1446,LAX,DFW,2359,0008,9.00,0,2300-2359,0.00,,,,,,
2/1/2024 12:00:00 AM,AA,1459,AUS,LAX,1430,1425,-5.00,-1,1400-1459,0.00,,,,,,
2/1/2024 12:00:00 AM,AA,1473,LAX,MIA,1325,1337,12.00,0,1300-1359,0.00,,,,,,
2/1/2024 12:00:00 AM,AA,1475,PHL,SAN,1553,1545,-8.00,-1,1500-1559,0.00,,,,,,
