FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,ORIGIN,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DEL15,DEP_DELAY_GROUP,DEP_TIME_BLK,CANCELLED,CANCELLATION_CODE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
1/1/2023 12:00:00 AM,AA,1,JFK,LAX,0730,0726,0.00,-1,0700-0759,0.00,,,,,,
1/1/2023 12:00:00 AM,AA,10,LAX,JFK,2208,2248,1.00,2,2200-2259,0.00,,17.00,0.00,0.00,0.00,0.00
1/1/2023 12:00:00 AM,AA,1008,SNA,ORD,1651,1644,0.00,-1,1600-1659,0.00,,,,,,
1/1/2023 12:00:00 AM,AA,1009,DFW,SBP,1016,1009,0.00,-1,1000-1059,0.00,,,,,,
1/1/2023 12:00:00 AM,AA,1009,SBP,DFW,1230,1240,0.00,0,1200-1259,0.00,,10.00,0.00,17.00,0.00,0.00
1/1/2023 12:00:00 AM,AA,1017,DFW,SBP,1930,1924,0.00,-1,1900-1959,0.00,,,,,,
1/1/2023 12:00:00 AM,AA,1019,SJC,DFW,0610,0604,0.00,-1,0600-0659,0.00,,,,,,
1/1/2023 12:00:00 AM,AA,1029,SBP,DFW,0619,0627,0.00,0,0600-0659,0.00,,,,,,
1/1/2023 12:00:00 AM,AA,1031,LAX,MIA,1028,1026,0.00,-1,1000-1059,0.00,,0.00,0.00,17.00,0.00,0.00
1/1/2023 12:00:00 AM,AA,1052,LAX,ORD,1054,1120,1.00,1,1000-1059,0.00,,,,,,
1/1/2023 12:00:00 AM,AA,1055,SAN,DFW,0715,0713,0.00,-1,0700-0759,0.00,,,,,,
1/1/2023 12:00:00 AM,AA,1077,DFW,LAX,0900,0858,0.00,-1,0900-0959,0.00,,,,,,
1/1/2023 12:00:00 AM,AA,1086,LAX,AUS,1315,1308,0.00,-1,1300-1359,0.00,,,,,,
1/1/2023 12:00:00 AM,AA,1095,IND,LAX,1230,1326,1.00,3,1200-1259,0.00,,56.00,0.00,7.00,0.00,0.00
1/1/2023 12:00:00 AM,AA,1116,BNA,LAX,1825,1933,1.00,4,1800-1859,0.00,,5.00,0.00,0.00,0.00,51.00
1/1/2023 12:00:00 AM,AA,1117,CLT,LAX,1645,1735,1.00,3,1600-1659,0.00,,17.00,0.00,0.00,0.00,10.00
1/1/2023 12:00:00 AM,AA,1119,PHX,SNA,1746,1749,0.00,0,1700-1759,0.00,,,,,,
1/1/2023 12:00:00 AM,AA,1119,SNA,PHX,1859,1852,0.00,-1,1800-1859,0.00,,0.00,0.00,21.00,0.00,0.00
1/1/2023 12:00:00 AM,AA,1164,SFO,PHX,0855,0845,0.00,-1,0800-0859,0.00,,,,,,
1/1/2023 12:00:00 AM,AA,1168,LAX,CLT,2248,2247,0.00,-1,2200-2259,0.00,,,,,,
