FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,ORIGIN,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,DEP_DELAY_GROUP,DEP_TIME_BLK,CANCELLED,CANCELLATION_CODE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
1/1/2024 12:00:00 AM,AA,1019,SJC,DFW,0611,0605,-6.00,-1,0600-0659,0.00,,,,,,
1/1/2024 12:00:00 AM,AA,1023,DFW,LAX,1731,1729,-2.00,-1,1700-1759,0.00,,,,,,
1/1/2024 12:00:00 AM,AA,1036,LAX,STL,1820,1817,-3.00,-1,1800-1859,0.00,,,,,,
1/1/2024 12:00:00 AM,AA,1041,PHL,LAX,1550,1546,-4.00,-1,1500-1559,0.00,,,,,,
1/1/2024 12:00:00 AM,AA,1070,LAX,DFW,0906,0903,-3.00,-1,0900-0959,0.00,,,,,,
1/1/2024 12:00:00 AM,AA,1087,BFL,DFW,0512,0508,-4.00,-1,0001-0559,0.00,,,,,,
1/1/2024 12:00:00 AM,AA,1110,DFW,BFL,1920,1945,25.00,1,1900-1959,0.00,,,,,,
1/1/2024 12:00:00 AM,AA,1162,DCA,LAX,1733,1749,16.00,1,1700-1759,0.00,,,,,,
1/1/2024 12:00:00 AM,AA,117,JFK,LAX,2005,2008,3.00,0,2000-2059,0.00,,,,,,
1/1/2024 12:00:00 AM,AA,1179,ORD,SNA,1923,1918,-5.00,-1,1900-1959,0.00,,,,,,
1/1/2024 12:00:00 AM,AA,118,LAX,JFK,0705,0700,-5.00,-1,0700-0759,0.00,,,,,,
1/1/2024 12:00:00 AM,AA,1197,SMF,DFW,2359,2352,-7.00,-1,2300-2359,0.00,,,,,,
1/1/2024 12:00:00 AM,AA,1198,SFO,DFW,0545,0546,1.00,0,0001-0559,0.00,,,,,,
1/1/2024 12:00:00 AM,AA,1208,BUR,DFW,1223,1220,-3.00,-1,1200-1259,0.00,,,,,,
1/1/2024 12:00:00 AM,AA,1208,DFW,BUR,1005,1000,-5.00,-1,1000-1059,0.00,,,,,,
1/1/2024 12:00:00 AM,AA,1238,PHX,ONT,2200,2204,4.00,0,2200-2259,0.00,,,,,,
1/1/2024 12:00:00 AM,AA,1243,DFW,SAN,1943,1936,-7.00,-1,1900-1959,0.00,,,,,,
1/1/2024 12:00:00 AM,AA,1252,DFW,SMF,1754,1936,102.00,6,1700-1759,0.00,,0.00,0.00,0.00,0.00,92.00
1/1/2024 12:00:00 AM,AA,1253,ORD,SFO,1415,1454,39.00,2,1400-1459,0.00,,,,,,
1/1/2024 12:00:00 AM,AA,1264,SFO,DFW,1806,1800,-6.00,-1,1800-1859,0.00,,,,,,
1/1/2024 12:00:00 AM,AA,1278,PHL,SAN,1546,1553,7.00,0,1500-1559,0.00,,,,,,
1/1/2024 12:00:00 AM,AA,1291,AUS,LAX,2035,2123,48.00,3,2000-2059,0.00,,3.00,0.00,19.00,0.00,45.00
1/1/2024 12:00:00 AM,AA,1292,LAX,BNA,1012,1117,65.00,4,1000-1059,0.00,,0.00,0.00,0.00,0.00,57.00
