FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,ORIGIN,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DEL15,DEP_DELAY_GROUP,DEP_TIME_BLK,CANCELLED,CANCELLATION_CODE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
7/1/2023 12:00:00 AM,AA,1,JFK,LAX,0600,0554,0.00,-1,0600-0659,0.00,,,,,,
7/1/2023 12:00:00 AM,AA,10,LAX,JFK,2045,2038,0.00,-1,2000-2059,0.00,,,,,,
7/1/2023 12:00:00 AM,AA,1019,SJC,DFW,0610,0603,0.00,-1,0600-0659,0.00,,,,,,
7/1/2023 12:00:00 AM,AA,1021,LAX,ORD,0610,0605,0.00,-1,0600-0659,0.00,,,,,,
7/1/2023 12:00:00 AM,AA,1024,DFW,BFL,2240,2331,1.00,3,2200-2259,0.00,,41.00,0.00,0.00,0.00,0.00
7/1/2023 12:00:00 AM,AA,1039,DFW,LAX,1500,1502,0.00,0,1500-1559,0.00,,,,,,
7/1/2023 12:00:00 AM,AA,1041,PHL,LAX,2045,2133,1.00,3,2000-2059,0.00,,0.00,0.00,0.00,0.00,37.00
7/1/2023 12:00:00 AM,AA,1055,SAN,DFW,0620,0619,0.00,-1,0600-0659,0.00,,,,,,
7/1/2023 12:00:00 AM,AA,1114,LAX,MIA,0808,0806,0.00,-1,0800-0859,0.00,,,,,,
7/1/2023 12:00:00 AM,AA,1129,CLT,LAX,1843,1902,1.00,1,1800-1859,0.00,,19.00,0.00,8.00,0.00,0.00
7/1/2023 12:00:00 AM,AA,1146,LAX,CLT,0726,0723,0.00,-1,0700-0759,0.00,,,,,,
7/1/2023 12:00:00 AM,AA,1160,PHX,LAX,1104,1100,0.00,-1,1100-1159,0.00,,,,,,
7/1/2023 12:00:00 AM,AA,1161,SBP,DFW,0600,0552,0.00,-1,0600-0659,0.00,,,,,,
7/1/2023 12:00:00 AM,AA,1162,DFW,ONT,2145,2349,1.00,8,2100-2159,0.00,,104.00,0.00,0.00,0.00,0.00
7/1/2023 12:00:00 AM,AA,1164,LAX,DFW,1840,1842,0.00,0,1800-1859,0.00,,,,,,
7/1/2023 12:00:00 AM,AA,117,JFK,LAX,1800,1759,0.00,-1,1800-1859,0.00,,,,,,
7/1/2023 12:00:00 AM,AA,1175,DFW,SFO,1656,1702,0.00,0,1600-1659,0.00,,,,,,
7/1/2023 12:00:00 AM,AA,1179,ORD,SNA,1724,1812,1.00,3,1700-1759,0.00,,0.00,35.00,0.00,0.00,0.00
7/1/2023 12:00:00 AM,AA,118,LAX,JFK,0700,0659,0.00,-1,0700-0759,0.00,,,,,,
7/1/2023 12:00:00 AM,AA,1180,SBP,DFW,1223,1246,1.00,1,1200-1259,0.00,,,,,,
7/1/2023 12:00:00 AM,AA,1198,SFO,DFW,0600,0553,0.00,-1,0600-0659,0.00,,,,,,
7/1/2023 12:00:00 AM,AA,1208,BUR,DFW,1307,1329,1.00,1,1300-1359,0.00,,0.00,0.00,2.00,0.00,22.00
7/1/2023 12:00:00 AM,AA,1208,DFW,BUR,1050,1047,0.00,-1,1000-1059,0.00,,0.00,0.00,34.00,0.00,0.00
7/1/2023 12:00:00 AM,AA,1227,DFW,SNA,1753,1749,0.00,-1,1700-1759,0.00,,,,,,
7/1/2023 12:00:00 AM,AA,1233,SMF,DFW,0700,0656,0.00,-1,0700-0759,0.00,,,,,,
7/1/2023 12:00:00 AM,AA,1237,DFW,SFO,2058,2300,1.00,8,2000-2059,0.00,,10.00,0.00,0.00,0.00,88.00
7/1/2023 12:00:00 AM,AA,1240,LAS,LAX,1755,1748,0.00,-1,1700-1759,0.00,,,,,,
7/1/2023 12:00:00 AM,AA,1244,SAN,ORD,2250,2246,0.00,-1,2200-2259,0.00,,,,,,
7/1/2023 12:00:00 AM,AA,1247,MIA,LAX,1001,1200,1.00,7,1000-1059,0.00,,8.00,0.00,0.00,0.00,69.00
7/1/2023 12:00:00 AM,AA,1252,DFW,SMF,1759,1903,1.00,4,1700-1759,0.00,,21.00,0.00,1.00,0.00,43.00
7/1/2023 12:00:00 AM,AA,1270,LAX,PHX,1311,1410,1.00,3,1300-1359,0.00,,0.00,0.00,2.00,0.00,59.00
7/1/2023 12:00:00 AM,AA,1275,DCA,LAX,0819,0811,0.00,-1,0800-0859,0.00,,,,,,
7/1/2023 12:00:00 AM,AA,1303,CLT,LAX,2048,2120,1.00,2,2000-2059,0.00,,23.00,0.00,0.00,0.00,0.00
7/1/2023 12:00:00 AM,AA,1303,LAX,CLT,1146,1151,0.00,0,1100-1159,0.00,,,,,,
7/1/2023 12:00:00 AM,AA,1331,DFW,LAX,1300,1259,0.00,-1,1300-1359,0.00,,,,,,
7/1/2023 12:00:00 AM,AA,1350,LAS,LAX,1958,2017,1.00,1,1900-1959,0.00,,0.00,0.00,1.00,0.00,19.00
7/1/2023 12:00:00 AM,AA,1372,LAX,DFW,1035,1039,0.00,0,1000-1059,0.00,,,,,,
7/1/2023 12:00:00 AM,AA,1375,ORD,LAX,1525,1526,0.00,0,1500-1559,0.00,,,,,,
7/1/2023 12:00:00 AM,AA,1381,DFW,FAT,2234,2256,1.00,1,2200-2259,0.00,,15.00,0.00,0.00,0.00,0.00
7/1/2023 12:00:00 AM,AA,1382,SNA,DFW,0755,0750,0.00,-1,0700-0759,0.00,,,,,,
7/1/2023 12:00:00 AM,AA,1384,ORD,LAX,1830,1924,1.00,3,1800-1859,0.00,,8.00,0.00,40.00,0.00,16.00
7/1/2023 12:00:00 AM,AA,1399,DFW,SAN,2055,2108,0.00,0,2000-2059,0.00,,,,,,
7/1/2023 12:00:00 AM,AA,14,OGG,LAX,2255,2248,0.00,-1,2200-2259,0.00,,,,,,
7/1/2023 12:00:00 AM,AA,1407,MIA,LAX,0901,0903,0.00,0,0900-0959,0.00,,,,,,
7/1/2023 12:00:00 AM,AA,1409,BNA,LAX,2122,2145,1.00,1,2100-2159,0.00,,,,,,
7/1/2023 12:00:00 AM,AA,1412,ONT,DFW,0633,0647,0.00,0,0600-0659,0.00,,,,,,
7/1/2023 12:00:00 AM,AA,143,LAX,HNL,1320,1323,0.00,0,1300-1359,0.00,,,,,,
7/1/2023 12:00:00 AM,AA,1430,DFW,SFO,1900,1857,0.00,-1,1900-1959,0.00,,,,,,
7/1/2023 12:00:00 AM,AA,1442,SFO,DFW,1223,1218,0.00,-1,1200-1259,0.00,,,,,,
7/1/2023 12:00:00 AM,AA,1462,IND,LAX,1950,1947,0.00,-1,1900-1959,0.00,,,,,,
7/1/2023 12:00:00 AM,AA,1483,DFW,SBA,1930,2053,1.00,5,1900-1959,0.00,,3.00,0.00,0.00,0.00,70.00
7/1/2023 12:00:00 AM,AA,1489,LAX,CLT,2217,2229,0.00,0,2200-2259,0.00,,,,,,
7/1/2023 12:00:00 AM,AA,1499,LAX,CLT,0600,0557,0.00,-1,0600-0659,0.00,,,,,,
7/1/2023 12:00:00 AM,AA,1517,BUR,PHX,1636,1626,0.00,-1,1600-1659,0.00,,,,,,
7/1/2023 12:00:00 AM,AA,1517,PHX,BUR,1422,1414,0.00,-1,1400-1459,0.00,,,,,,
7/1/2023 12:00:00 AM,AA,1534,ONT,DFW,0731,0730,0.00,-1,0700-0759,0.00,,,,,,
7/1/2023 12:00:00 AM,AA,1543,ORD,SAN,1655,1936,1.00,10,1600-1659,0.00,,9.00,0.00,0.00,0.00,143.00
7/1/2023 12:00:00 AM,AA,1544,SMF,DFW,0600,1310,1.00,12,0600-0659,0.00,,0.00,0.00,0.00,0.00,429.00
7/1/2023 12:00:00 AM,AA,1563,DFW,MRY,1940,1935,0.00,-1,1900-1959,0.00,,,,,,
7/1/2023 12:00:00 AM,AA,1570,AUS,LAX,2014,2028,0.00,0,2000-2059,0.00,,,,,,
