FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,ORIGIN,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,DEP_DELAY_GROUP,DEP_TIME_BLK,CANCELLED,CANCELLATION_CODE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
7/1/2024 12:00:00 AM,AA,1,JFK,LAX,0600,0558,-2.00,-1,0600-0659,0.00,,,,,,
7/1/2024 12:00:00 AM,AA,10,LAX,JFK,2134,2136,2.00,0,2100-2159,0.00,,,,,,
7/1/2024 12:00:00 AM,AA,1001,DFW,STS,1005,1025,20.00,1,1000-1059,0.00,,,,,,
7/1/2024 12:00:00 AM,AA,1005,BFL,DFW,1243,1249,6.00,0,1200-1259,0.00,,,,,,
7/1/2024 12:00:00 AM,AA,1005,DFW,BFL,1028,1105,37.00,2,1000-1059,0.00,,,,,,
7/1/2024 12:00:00 AM,AA,1006,LAX,ORD,1325,1353,28.00,1,1300-1359,0.00,,0.00,0.00,0.00,0.00,19.00
7/1/2024 12:00:00 AM,AA,1021,LAX,ORD,0620,0616,-4.00,-1,0600-0659,0.00,,,,,,
7/1/2024 12:00:00 AM,AA,1055,SAN,DFW,0615,0618,3.00,0,0600-0659,0.00,,,,,,
7/1/2024 12:00:00 AM,AA,1138,CLT,LAX,2100,2055,-5.00,-1,2100-2159,0.00,,,,,,
7/1/2024 12:00:00 AM,AA,1138,LAX,CLT,1146,1211,25.00,1,1100-1159,0.00,,,,,,
7/1/2024 12:00:00 AM,AA,1161,SBP,DFW,0600,0556,-4.00,-1,0600-0659,0.00,,,,,,
7/1/2024 12:00:00 AM,AA,1162,DFW,ONT,2106,2109,3.00,0,2100-2159,0.00,,3.00,0.00,23.00,0.00,0.00
7/1/2024 12:00:00 AM,AA,117,JFK,LAX,1930,1925,-5.00,-1,1900-1959,0.00,,,,,,
7/1/2024 12:00:00 AM,AA,1179,ORD,SNA,1739,1811,32.00,2,1700-1759,0.00,,0.00,0.00,0.00,0.00,30.00
7/1/2024 12:00:00 AM,AA,118,LAX,JFK,0655,0652,-3.00,-1,0600-0659,0.00,,,,,,
7/1/2024 12:00:00 AM,AA,1208,BUR,DFW,1223,2124,541.00,12,1200-1259,0.00,,0.00,0.00,0.00,0.00,532.00
7/1/2024 12:00:00 AM,AA,1208,DFW,BUR,1016,1010,-6.00,-1,1000-1059,0.00,,,,,,
7/1/2024 12:00:00 AM,AA,1218,PHX,SAN,1400,1457,57.00,3,1400-1459,0.00,,3.00,0.00,9.00,0.00,54.00
7/1/2024 12:00:00 AM,AA,1240,LAX,DCA,0731,0729,-2.00,-1,0700-0759,0.00,,,,,,
7/1/2024 12:00:00 AM,AA,1263,ORD,SAN,1839,1937,58.00,3,1800-1859,0.00,,0.00,0.00,0.00,0.00,47.00
7/1/2024 12:00:00 AM,AA,1270,LAS,LAX,1850,1853,3.00,0,1800-1859,0.00,,0.00,0.00,26.00,0.00,3.00
7/1/2024 12:00:00 AM,AA,1272,SAN,DFW,0825,0820,-5.00,-1,0800-0859,0.00,,,,,,
7/1/2024 12:00:00 AM,AA,1305,LAX,DFW,1336,1335,-1.00,-1,1300-1359,0.00,,,,,,
7/1/2024 12:00:00 AM,AA,1315,BFL,DFW,0507,0524,17.00,1,0001-0559,0.00,,0.00,0.00,0.00,15.00,0.00
7/1/2024 12:00:00 AM,AA,1316,ORD,LAX,1155,1222,27.00,1,1100-1159,0.00,,12.00,0.00,2.00,0.00,15.00
7/1/2024 12:00:00 AM,AA,1321,STL,LAX,0629,,,,0600-0659,1.00,A,,,,,
7/1/2024 12:00:00 AM,AA,1369,DFW,SAN,1043,1154,71.00,4,1000-1059,0.00,,8.00,0.00,0.00,0.00,33.00
7/1/2024 12:00:00 AM,AA,1382,SNA,DFW,0645,0644,-1.00,-1,0600-0659,0.00,,,,,,
7/1/2024 12:00:00 AM,AA,1399,DFW,SAN,2054,2058,4.00,0,2000-2059,0.00,,,,,,
7/1/2024 12:00:00 AM,AA,1402,SNA,DFW,0929,0923,-6.00,-1,0900-0959,0.00,,,,,,
7/1/2024 12:00:00 AM,AA,1412,ONT,DFW,0600,0557,-3.00,-1,0600-0659,0.00,,,,,,
7/1/2024 12:00:00 AM,AA,1414,SFO,DFW,1232,1259,27.00,1,1200-1259,0.00,,27.00,0.00,31.00,0.00,0.00
7/1/2024 12:00:00 AM,AA,143,LAX,HNL,1352,1349,-3.00,-1,1300-1359,0.00,,,,,,
7/1/2024 12:00:00 AM,AA,1430,DFW,SFO,1850,1915,25.00,1,1800-1859,0.00,,,,,,
7/1/2024 12:00:00 AM,AA,1432,ORD,LAX,0600,0554,-6.00,-1,0600-0659,0.00,,,,,,
