FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,ORIGIN,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DEL15,DEP_DELAY_GROUP,DEP_TIME_BLK,CANCELLED,CANCELLATION_CODE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
6/1/2023 12:00:00 AM,AA,1,JFK,LAX,0600,0602,0.00,0,0600-0659,0.00,,,,,,
6/1/2023 12:00:00 AM,AA,10,LAX,JFK,2045,2039,0.00,-1,2000-2059,0.00,,,,,,
6/1/2023 12:00:00 AM,AA,1005,BFL,DFW,1236,1247,0.00,0,1200-1259,0.00,,,,,,
6/1/2023 12:00:00 AM,AA,1005,DFW,BFL,1038,1039,0.00,0,1000-1059,0.00,,,,,,
6/1/2023 12:00:00 AM,AA,1019,SJC,DFW,0610,0611,0.00,0,0600-0659,0.00,,,,,,
6/1/2023 12:00:00 AM,AA,1021,LAX,ORD,0610,0607,0.00,-1,0600-0659,0.00,,,,,,
6/1/2023 12:00:00 AM,AA,1024,DFW,BFL,2240,2234,0.00,-1,2200-2259,0.00,,,,,,
6/1/2023 12:00:00 AM,AA,1039,DFW,LAX,1500,1457,0.00,-1,1500-1559,0.00,,,,,,
6/1/2023 12:00:00 AM,AA,1041,PHL,LAX,2045,2046,0.00,0,2000-2059,0.00,,,,,,
6/1/2023 12:00:00 AM,AA,1055,SAN,DFW,0615,0608,0.00,-1,0600-0659,0.00,,,,,,
6/1/2023 12:00:00 AM,AA,1077,SFO,JFK,1335,1329,0.00,-1,1300-1359,0.00,,,,,,
6/1/2023 12:00:00 AM,AA,1114,LAX,MIA,0808,0805,0.00,-1,0800-0859,0.00,,,,,,
6/1/2023 12:00:00 AM,AA,1129,CLT,LAX,1843,1904,1.00,1,1800-1859,0.00,,21.00,0.00,11.00,0.00,0.00
6/1/2023 12:00:00 AM,AA,1146,LAX,CLT,0726,0723,0.00,-1,0700-0759,0.00,,,,,,
6/1/2023 12:00:00 AM,AA,1160,PHX,LAX,1102,1117,1.00,1,1100-1159,0.00,,15.00,0.00,4.00,0.00,0.00
6/1/2023 12:00:00 AM,AA,1161,SBP,DFW,0600,0654,1.00,3,0600-0659,0.00,,34.00,0.00,0.00,0.00,0.00
6/1/2023 12:00:00 AM,AA,1162,DFW,ONT,2123,2237,1.00,4,2100-2159,0.00,,67.00,0.00,10.00,0.00,7.00
6/1/2023 12:00:00 AM,AA,1164,LAX,DFW,1840,1849,0.00,0,1800-1859,0.00,,,,,,
6/1/2023 12:00:00 AM,AA,117,JFK,LAX,1800,1801,0.00,0,1800-1859,0.00,,,,,,
6/1/2023 12:00:00 AM,AA,1175,DFW,SFO,1656,1755,1.00,3,1600-1659,0.00,,7.00,0.00,28.00,0.00,52.00
6/1/2023 12:00:00 AM,AA,1179,ORD,SNA,1724,1717,0.00,-1,1700-1759,0.00,,,,,,
6/1/2023 12:00:00 AM,AA,118,LAX,JFK,0700,0654,0.00,-1,0700-0759,0.00,,,,,,
6/1/2023 12:00:00 AM,AA,1180,SBP,DFW,1223,1221,0.00,-1,1200-1259,0.00,,,,,,
6/1/2023 12:00:00 AM,AA,1198,SFO,DFW,0600,0555,0.00,-1,0600-0659,0.00,,,,,,
6/1/2023 12:00:00 AM,AA,1208,BUR,DFW,1259,1255,0.00,-1,1200-1259,0.00,,,,,,
6/1/2023 12:00:00 AM,AA,1208,DFW,BUR,1046,1050,0.00,0,1000-1059,0.00,,,,,,
6/1/2023 12:00:00 AM,AA,1227,DFW,SNA,1753,1744,0.00,-1,1700-1759,0.00,,,,,,
6/1/2023 12:00:00 AM,AA,1233,SMF,DFW,0700,0653,0.00,-1,0700-0759,0.00,,,,,,
6/1/2023 12:00:00 AM,AA,1237,DFW,SFO,2115,2213,1.00,3,2100-2159,0.00,,0.00,0.00,6.00,0.00,58.00
6/1/2023 12:00:00 AM,AA,1240,LAS,LAX,1755,1750,0.00,-1,1700-1759,0.00,,,,,,
6/1/2023 12:00:00 AM,AA,1244,SAN,ORD,2250,2256,0.00,0,2200-2259,0.00,,,,,,
6/1/2023 12:00:00 AM,AA,1247,MIA,LAX,1001,1001,0.00,0,1000-1059,0.00,,,,,,
6/1/2023 12:00:00 AM,AA,1252,DFW,SMF,1759,1805,0.00,0,1700-1759,0.00,,,,,,
6/1/2023 12:00:00 AM,AA,1270,LAX,PHX,1311,1309,0.00,-1,1300-1359,0.00,,,,,,
