FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,ORIGIN,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,DEP_DELAY_GROUP,DEP_TIME_BLK,CANCELLED,CANCELLATION_CODE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
6/1/2024 12:00:00 AM,AA,1,JFK,LAX,0900,0854,-6.00,-1,0900-0959,0.00,,,,,,
6/1/2024 12:00:00 AM,AA,10,LAX,JFK,2230,2224,-6.00,-1,2200-2259,0.00,,,,,,
6/1/2024 12:00:00 AM,AA,1002,AUS,LAX,1527,,,,1500-1559,1.00,A,,,,,
6/1/2024 12:00:00 AM,AA,1019,SJC,DFW,0610,1213,1803.00,12,0600-0659,0.00,,,,,,
6/1/2024 12:00:00 AM,AA,1021,LAX,ORD,0600,0556,-4.00,-1,0600-0659,0.00,,,,,,
6/1/2024 12:00:00 AM,AA,1024,DFW,BFL,1920,2011,51.00,3,1900-1959,0.00,,0.00,10.00,0.00,0.00,31.00
6/1/2024 12:00:00 AM,AA,1055,SAN,DFW,0615,0613,-2.00,-1,0600-0659,0.00,,0.00,0.00,20.00,0.00,0.00
6/1/2024 12:00:00 AM,AA,1156,DFW,LAX,1730,1733,3.00,0,1700-1759,0.00,,,,,,
6/1/2024 12:00:00 AM,AA,1161,SBP,DFW,0600,0616,16.00,1,0600-0659,0.00,,,,,,
6/1/2024 12:00:00 AM,AA,1162,DFW,ONT,1901,,,,1900-1959,1.00,B,,,,,
6/1/2024 12:00:00 AM,AA,117,JFK,LAX,2000,1958,-2.00,-1,2000-2059,0.00,,,,,,
6/1/2024 12:00:00 AM,AA,1175,DFW,SFO,1701,1813,72.00,4,1700-1759,0.00,,0.00,2.00,0.00,0.00,64.00
6/1/2024 12:00:00 AM,AA,1179,ORD,SNA,1730,1741,11.00,0,1700-1759,0.00,,,,,,
6/1/2024 12:00:00 AM,AA,118,LAX,JFK,0700,0656,-4.00,-1,0700-0759,0.00,,,,,,
6/1/2024 12:00:00 AM,AA,1198,ORD,LAX,1900,,,,1900-1959,1.00,B,,,,,
6/1/2024 12:00:00 AM,AA,1208,BUR,DFW,1235,,,,1200-1259,1.00,A,,,,,
6/1/2024 12:00:00 AM,AA,1208,DFW,BUR,1012,,,,1000-1059,1.00,A,,,,,
6/1/2024 12:00:00 AM,AA,1218,PHX,SAN,1415,1435,20.00,1,1400-1459,0.00,,,,,,
6/1/2024 12:00:00 AM,AA,1225,ATL,LAX,1607,1604,-3.00,-1,1600-1659,0.00,,,,,,
6/1/2024 12:00:00 AM,AA,1240,LAX,DCA,0755,0751,-4.00,-1,0700-0759,0.00,,,,,,
6/1/2024 12:00:00 AM,AA,1263,ORD,SAN,2055,2052,-3.00,-1,2000-2059,0.00,,,,,,
6/1/2024 12:00:00 AM,AA,1272,SAN,DFW,0818,0815,-3.00,-1,0800-0859,0.00,,,,,,
6/1/2024 12:00:00 AM,AA,1299,LAX,AUS,1525,,,,1500-1559,1.00,A,,,,,
6/1/2024 12:00:00 AM,AA,1305,LAX,DFW,1330,1641,191.00,12,1300-1359,0.00,,191.00,0.00,35.00,0.00,0.00
6/1/2024 12:00:00 AM,AA,1324,DFW,LAX,0830,0830,0.00,0,0800-0859,0.00,,,,,,
6/1/2024 12:00:00 AM,AA,1324,LAX,DFW,1130,1128,-2.00,-1,1100-1159,0.00,,,,,,
6/1/2024 12:00:00 AM,AA,1369,DFW,SAN,1128,1150,22.00,1,1100-1159,0.00,,16.00,0.00,0.00,0.00,0.00
6/1/2024 12:00:00 AM,AA,1382,SNA,DFW,0645,0644,-1.00,-1,0600-0659,0.00,,0.00,0.00,31.00,0.00,0.00
