FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,ORIGIN,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DEL15,DEP_DELAY_GROUP,DEP_TIME_BLK,CANCELLED,CANCELLATION_CODE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
3/1/2023 12:00:00 AM,AA,1,JFK,LAX,0725,0720,0.00,-1,0700-0759,0.00,,0.00,0.00,37.00,0.00,0.00
3/1/2023 12:00:00 AM,AA,10,LAX,JFK,2215,2207,0.00,-1,2200-2259,0.00,,,,,,
3/1/2023 12:00:00 AM,AA,1009,DFW,SBP,1017,1042,1.00,1,1000-1059,0.00,,25.00,0.00,14.00,0.00,0.00
3/1/2023 12:00:00 AM,AA,1009,SBP,DFW,1235,1314,1.00,2,1200-1259,0.00,,0.00,0.00,0.00,0.00,28.00
3/1/2023 12:00:00 AM,AA,1017,DFW,SBP,1913,1924,0.00,0,1900-1959,0.00,,11.00,0.00,6.00,0.00,0.00
3/1/2023 12:00:00 AM,AA,1019,SJC,DFW,0610,0602,0.00,-1,0600-0659,0.00,,,,,,
3/1/2023 12:00:00 AM,AA,1029,SBP,DFW,0620,0617,0.00,-1,0600-0659,0.00,,,,,,
3/1/2023 12:00:00 AM,AA,1035,PHX,SMF,1840,2016,1.00,6,1800-1859,0.00,,0.00,0.00,0.00,0.00,91.00
3/1/2023 12:00:00 AM,AA,1052,LAX,ORD,1045,1051,0.00,0,1000-1059,0.00,,,,,,
3/1/2023 12:00:00 AM,AA,1055,SAN,DFW,0715,0708,0.00,-1,0700-0759,0.00,,,,,,
3/1/2023 12:00:00 AM,AA,1077,DFW,LAX,0900,0859,0.00,-1,0900-0959,0.00,,0.00,0.00,82.00,0.00,0.00
3/1/2023 12:00:00 AM,AA,1086,LAX,AUS,1203,1837,1.00,12,1200-1259,0.00,,0.00,0.00,0.00,0.00,382.00
3/1/2023 12:00:00 AM,AA,1095,IND,LAX,1713,1706,0.00,-1,1700-1759,0.00,,,,,,
3/1/2023 12:00:00 AM,AA,1116,BNA,LAX,1815,1831,1.00,1,1800-1859,0.00,,16.00,0.00,13.00,0.00,0.00
3/1/2023 12:00:00 AM,AA,1117,CLT,LAX,1640,1636,0.00,-1,1600-1659,0.00,,,,,,
3/1/2023 12:00:00 AM,AA,1119,PHX,SNA,1750,1746,0.00,-1,1700-1759,0.00,,0.00,0.00,16.00,0.00,0.00
3/1/2023 12:00:00 AM,AA,1119,SNA,PHX,1905,2056,1.00,7,1900-1959,0.00,,0.00,104.00,14.00,0.00,7.00
3/1/2023 12:00:00 AM,AA,1164,SFO,PHX,0802,0756,0.00,-1,0800-0859,0.00,,,,,,
3/1/2023 12:00:00 AM,AA,1168,ORD,SAN,1335,1335,0.00,0,1300-1359,0.00,,,,,,
3/1/2023 12:00:00 AM,AA,1175,DFW,SFO,1711,1756,1.00,3,1700-1759,0.00,,7.00,0.00,0.00,0.00,27.00
3/1/2023 12:00:00 AM,AA,1179,ORD,SNA,1939,1942,0.00,0,1900-1959,0.00,,,,,,
3/1/2023 12:00:00 AM,AA,118,LAX,JFK,0630,0627,0.00,-1,0600-0659,0.00,,,,,,
3/1/2023 12:00:00 AM,AA,1198,SFO,DFW,0600,0554,0.00,-1,0600-0659,0.00,,,,,,
3/1/2023 12:00:00 AM,AA,1208,BUR,DFW,1326,1411,1.00,3,1300-1359,0.00,,0.00,0.00,0.00,0.00,44.00
3/1/2023 12:00:00 AM,AA,1208,DFW,BUR,1110,1143,1.00,2,1100-1159,0.00,,33.00,0.00,26.00,0.00,0.00
3/1/2023 12:00:00 AM,AA,1210,BOS,LAX,2002,2000,0.00,-1,2000-2059,0.00,,,,,,
3/1/2023 12:00:00 AM,AA,1227,DFW,SNA,1859,2005,1.00,4,1800-1859,0.00,,0.00,0.00,10.00,0.00,66.00
3/1/2023 12:00:00 AM,AA,1233,SMF,DFW,0721,0730,0.00,0,0700-0759,0.00,,,,,,
3/1/2023 12:00:00 AM,AA,1243,DFW,SAN,1857,1911,0.00,0,1800-1859,0.00,,0.00,0.00,12.00,0.00,14.00
3/1/2023 12:00:00 AM,AA,1252,DCA,LAX,1703,1701,0.00,-1,1700-1759,0.00,,0.00,0.00,20.00,0.00,0.00
3/1/2023 12:00:00 AM,AA,1253,SFO,ORD,2341,2335,0.00,-1,2300-2359,0.00,,,,,,
