FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,ORIGIN,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DEL15,DEP_DELAY_GROUP,DEP_TIME_BLK,CANCELLED,CANCELLATION_CODE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
5/1/2023 12:00:00 AM,AA,1,JFK,LAX,0710,0705,0.00,-1,0700-0759,0.00,,,,,,
5/1/2023 12:00:00 AM,AA,10,LAX,JFK,2230,2222,0.00,-1,2200-2259,1.00,A,,,,,
5/1/2023 12:00:00 AM,AA,1005,BFL,DFW,1242,1323,1.00,2,1200-1259,0.00,,2.00,0.00,0.00,0.00,20.00
5/1/2023 12:00:00 AM,AA,1005,DFW,BFL,1033,1129,1.00,3,1000-1059,0.00,,37.00,0.00,0.00,0.00,0.00
5/1/2023 12:00:00 AM,AA,1017,DFW,SBP,1908,1936,1.00,1,1900-1959,0.00,,,,,,
5/1/2023 12:00:00 AM,AA,1019,SJC,DFW,0610,0602,0.00,-1,0600-0659,0.00,,,,,,
5/1/2023 12:00:00 AM,AA,1021,LAX,ORD,0600,0600,0.00,0,0600-0659,0.00,,,,,,
5/1/2023 12:00:00 AM,AA,1024,DFW,BFL,2230,2229,0.00,-1,2200-2259,0.00,,,,,,
5/1/2023 12:00:00 AM,AA,1037,DFW,LAX,2135,2142,0.00,0,2100-2159,0.00,,7.00,0.00,19.00,0.00,0.00
5/1/2023 12:00:00 AM,AA,1037,LAX,DFW,1530,1526,0.00,-1,1500-1559,0.00,,,,,,
5/1/2023 12:00:00 AM,AA,1039,DFW,LAX,1406,1411,0.00,0,1400-1459,0.00,,,,,,
5/1/2023 12:00:00 AM,AA,1046,DFW,FAT,1909,1907,0.00,-1,1900-1959,0.00,,,,,,
5/1/2023 12:00:00 AM,AA,1048,FAT,PHX,1633,1628,0.00,-1,1600-1659,0.00,,,,,,
5/1/2023 12:00:00 AM,AA,1048,PHX,FAT,1404,1357,0.00,-1,1400-1459,0.00,,,,,,
5/1/2023 12:00:00 AM,AA,1055,SAN,DFW,0620,0620,0.00,0,0600-0659,0.00,,,,,,
5/1/2023 12:00:00 AM,AA,1086,AUS,LAX,2105,2057,0.00,-1,2100-2159,0.00,,,,,,
5/1/2023 12:00:00 AM,AA,1114,LAX,MIA,0825,0824,0.00,-1,0800-0859,0.00,,,,,,
