FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,ORIGIN,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,DEP_DELAY_GROUP,DEP_TIME_BLK,CANCELLED,CANCELLATION_CODE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
5/1/2024 12:00:00 AM,AA,1,JFK,LAX,0900,0900,0.00,0,0900-0959,0.00,,,,,,
5/1/2024 12:00:00 AM,AA,10,LAX,JFK,2230,2222,-8.00,-1,2200-2259,0.00,,,,,,
5/1/2024 12:00:00 AM,AA,1005,DFW,SFO,2044,2056,12.00,0,2000-2059,0.00,,12.00,0.00,24.00,0.00,0.00
5/1/2024 12:00:00 AM,AA,1019,SJC,DFW,0610,0607,-3.00,-1,0600-0659,0.00,,,,,,
5/1/2024 12:00:00 AM,AA,1021,LAX,ORD,0600,0557,-3.00,-1,0600-0659,0.00,,,,,,
5/1/2024 12:00:00 AM,AA,1024,DFW,BFL,1941,1940,-1.00,-1,1900-1959,0.00,,0.00,0.00,15.00,0.00,0.00
5/1/2024 12:00:00 AM,AA,103,SFO,LAX,0600,0606,6.00,0,0600-0659,0.00,,,,,,
5/1/2024 12:00:00 AM,AA,1055,SAN,DFW,0615,0611,-4.00,-1,0600-0659,0.00,,,,,,
5/1/2024 12:00:00 AM,AA,1156,SFO,PHL,0630,0629,-1.00,-1,0600-0659,0.00,,,,,,
5/1/2024 12:00:00 AM,AA,117,JFK,LAX,2000,2004,4.00,0,2000-2059,0.00,,,,,,
5/1/2024 12:00:00 AM,AA,1175,DFW,SFO,1653,1653,0.00,0,1600-1659,0.00,,0.00,0.00,22.00,0.00,0.00
5/1/2024 12:00:00 AM,AA,1179,ORD,SNA,1710,1803,53.00,3,1700-1759,0.00,,0.00,0.00,0.00,0.00,23.00
5/1/2024 12:00:00 AM,AA,118,LAX,JFK,0700,0655,-5.00,-1,0700-0759,0.00,,,,,,
5/1/2024 12:00:00 AM,AA,1181,CLT,LAX,1706,1707,1.00,0,1700-1759,0.00,,,,,,
5/1/2024 12:00:00 AM,AA,1184,CLT,LAX,1831,1838,7.00,0,1800-1859,0.00,,,,,,
5/1/2024 12:00:00 AM,AA,1208,BUR,DFW,1238,1232,-6.00,-1,1200-1259,0.00,,,,,,
5/1/2024 12:00:00 AM,AA,1208,DFW,BUR,1013,1009,-4.00,-1,1000-1059,0.00,,,,,,
5/1/2024 12:00:00 AM,AA,1225,ATL,LAX,1700,1657,-3.00,-1,1700-1759,0.00,,,,,,
5/1/2024 12:00:00 AM,AA,1240,LAX,DCA,0756,0755,-1.00,-1,0700-0759,0.00,,,,,,
5/1/2024 12:00:00 AM,AA,1249,FAT,PHX,1900,2210,190.00,12,1900-1959,0.00,,0.00,0.00,0.00,0.00,177.00
5/1/2024 12:00:00 AM,AA,1249,PHX,FAT,1641,2005,204.00,12,1600-1659,0.00,,192.00,0.00,0.00,0.00,0.00
5/1/2024 12:00:00 AM,AA,1257,PHX,SJC,1007,1010,3.00,0,1000-1059,0.00,,,,,,
5/1/2024 12:00:00 AM,AA,1257,SJC,PHX,1250,1245,-5.00,-1,1200-1259,0.00,,,,,,
5/1/2024 12:00:00 AM,AA,1260,FAT,PHX,1633,1633,0.00,0,1600-1659,0.00,,,,,,
5/1/2024 12:00:00 AM,AA,1260,PHX,FAT,1401,1415,14.00,0,1400-1459,0.00,,,,,,
5/1/2024 12:00:00 AM,AA,1272,DFW,SAN,0704,0659,-5.00,-1,0700-0759,0.00,,,,,,
5/1/2024 12:00:00 AM,AA,1272,SAN,DFW,0908,0905,-3.00,-1,0900-0959,0.00,,,,,,
5/1/2024 12:00:00 AM,AA,130,LAX,SFO,1252,1418,86.00,5,1200-1259,0.00,,0.00,0.00,4.00,0.00,80.00
5/1/2024 12:00:00 AM,AA,131,SFO,LAX,1502,1625,83.00,5,1500-1559,0.00,,0.00,0.00,0.00,0.00,76.00
5/1/2024 12:00:00 AM,AA,1324,DFW,LAX,0830,0836,6.00,0,0800-0859,0.00,,,,,,
5/1/2024 12:00:00 AM,AA,1324,LAX,DFW,1140,1136,-4.00,-1,1100-1159,0.00,,,,,,
5/1/2024 12:00:00 AM,AA,1362,BFL,PHX,0625,0621,-4.00,-1,0600-0659,0.00,,,,,,
5/1/2024 12:00:00 AM,AA,1382,SNA,DFW,0645,0641,-4.00,-1,0600-0659,0.00,,,,,,
5/1/2024 12:00:00 AM,AA,1399,LAX,DFW,0145,0140,-5.00,-1,0001-0559,0.00,,,,,,
5/1/2024 12:00:00 AM,AA,14,OGG,LAX,2142,2138,-4.00,-1,2100-2159,0.00,,,,,,
5/1/2024 12:00:00 AM,AA,1409,LAX,BNA,1006,1004,-2.00,-1,1000-1059,0.00,,,,,,
5/1/2024 12:00:00 AM,AA,1412,ONT,DFW,0600,0557,-3.00,-1,0600-0659,0.00,,,,,,
5/1/2024 12:00:00 AM,AA,1423,ONT,PHX,1000,0952,-8.00,-1,1000-1059,0.00,,,,,,
5/1/2024 12:00:00 AM,AA,1423,PHX,ONT,0744,0735,-9.00,-1,0700-0759,0.00,,,,,,
5/1/2024 12:00:00 AM,AA,143,LAX,HNL,1507,1504,-3.00,-1,1500-1559,0.00,,,,,,
5/1/2024 12:00:00 AM,AA,1430,DFW,SFO,1902,1904,2.00,0,1900-1959,0.00,,2.00,0.00,16.00,0.00,0.00
5/1/2024 12:00:00 AM,AA,1437,LAX,IND,0945,0955,10.00,0,0900-0959,0.00,,,,,,
5/1/2024 12:00:00 AM,AA,144,HNL,LAX,2140,2128,-12.00,-1,2100-2159,0.00,,,,,,
5/1/2024 12:00:00 AM,AA,147,LAX,SFO,0821,0834,13.00,0,0800-0859,0.00,,0.00,0.00,42.00,0.00,3.00
5/1/2024 12:00:00 AM,AA,148,SFO,LAX,1035,1152,77.00,5,1000-1059,0.00,,32.00,0.00,10.00,0.00,45.00
5/1/2024 12:00:00 AM,AA,1480,HNL,LAX,0700,0700,0.00,0,0700-0759,0.00,,,,,,
5/1/2024 12:00:00 AM,AA,1499,LAX,CLT,0603,0602,-1.00,-1,0600-0659,0.00,,,,,,
5/1/2024 12:00:00 AM,AA,1504,DFW,LAX,1500,1456,-4.00,-1,1500-1559,0.00,,,,,,
5/1/2024 12:00:00 AM,AA,1510,LAX,PHL,2335,2335,0.00,0,2300-2359,0.00,,,,,,
5/1/2024 12:00:00 AM,AA,1518,LAX,PHX,1300,1258,-2.00,-1,1300-1359,0.00,,,,,,
5/1/2024 12:00:00 AM,AA,1526,MIA,LAX,1002,1227,145.00,9,1000-1059,0.00,,135.00,0.00,0.00,0.00,0.00
5/1/2024 12:00:00 AM,AA,1528,DCA,LAX,0830,0827,-3.00,-1,0800-0859,0.00,,,,,,
5/1/2024 12:00:00 AM,AA,1534,ONT,DFW,0743,0756,13.00,0,0700-0759,0.00,,13.00,0.00,9.00,0.00,0.00
5/1/2024 12:00:00 AM,AA,1540,DFW,LAX,1220,1216,-4.00,-1,1200-1259,0.00,,,,,,
5/1/2024 12:00:00 AM,AA,1543,ORD,SAN,1705,1703,-2.00,-1,1700-1759,0.00,,,,,,
5/1/2024 12:00:00 AM,AA,1544,SMF,DFW,0600,0557,-3.00,-1,0600-0659,0.00,,,,,,
5/1/2024 12:00:00 AM,AA,1551,ORD,LAX,1500,1452,-8.00,-1,1500-1559,0.00,,,,,,
5/1/2024 12:00:00 AM,AA,1563,DFW,MRY,1941,1936,-5.00,-1,1900-1959,0.00,,,,,,
5/1/2024 12:00:00 AM,AA,1564,LAX,ORD,2312,2340,28.00,1,2300-2359,0.00,,,,,,
5/1/2024 12:00:00 AM,AA,1565,LAX,ORD,0015,0016,1.00,0,0001-0559,0.00,,,,,,
5/1/2024 12:00:00 AM,AA,1571,LAX,MIA,1200,1156,-4.00,-1,1200-1259,0.00,,,,,,
5/1/2024 12:00:00 AM,AA,1582,LAX,DFW,1455,1456,1.00,0,1400-1459,0.00,,,,,,
