FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,ORIGIN,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DEL15,DEP_DELAY_GROUP,DEP_TIME_BLK,CANCELLED,CANCELLATION_CODE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
11/1/2023 12:00:00 AM,AA,1,JFK,LAX,0900,0904,0.00,0,0900-0959,0.00,,,,,,
11/1/2023 12:00:00 AM,AA,10,LAX,JFK,2100,2057,0.00,-1,2100-2159,0.00,,,,,,
11/1/2023 12:00:00 AM,AA,1005,BFL,DFW,1220,1236,1.00,1,1200-1259,0.00,,,,,,
11/1/2023 12:00:00 AM,AA,1005,DFW,BFL,1009,1030,1.00,1,1000-1059,0.00,,,,,,
11/1/2023 12:00:00 AM,AA,1019,SJC,DFW,0610,0602,0.00,-1,0600-0659,0.00,,,,,,
11/1/2023 12:00:00 AM,AA,1021,PHX,SJC,1005,1005,0.00,0,1000-1059,0.00,,,,,,
11/1/2023 12:00:00 AM,AA,1024,DFW,BFL,2230,2225,0.00,-1,2200-2259,0.00,,,,,,
11/1/2023 12:00:00 AM,AA,1039,DFW,LAX,1400,1407,0.00,0,1400-1459,0.00,,,,,,
11/1/2023 12:00:00 AM,AA,1041,PHL,LAX,2059,2051,0.00,-1,2000-2059,0.00,,,,,,
11/1/2023 12:00:00 AM,AA,1055,SAN,DFW,0620,0619,0.00,-1,0600-0659,0.00,,,,,,
11/1/2023 12:00:00 AM,AA,1075,DFW,PSP,0837,0834,0.00,-1,0800-0859,0.00,,,,,,
11/1/2023 12:00:00 AM,AA,1075,PSP,DFW,1042,1107,1.00,1,1000-1059,0.00,,,,,,
11/1/2023 12:00:00 AM,AA,1077,ONT,DFW,0059,0058,0.00,-1,0001-0559,0.00,,,,,,
11/1/2023 12:00:00 AM,AA,1086,AUS,LAX,1930,1919,0.00,-1,1900-1959,0.00,,,,,,
11/1/2023 12:00:00 AM,AA,1117,ATL,LAX,0545,0754,1.00,8,0001-0559,0.00,,117.00,0.00,0.00,0.00,0.00
11/1/2023 12:00:00 AM,AA,1146,LAX,CLT,0723,0914,1.00,7,0700-0759,0.00,,111.00,0.00,6.00,0.00,0.00
11/1/2023 12:00:00 AM,AA,1160,PHX,LAX,0827,0822,0.00,-1,0800-0859,0.00,,,,,,
11/1/2023 12:00:00 AM,AA,1161,SBP,DFW,0544,0543,0.00,-1,0001-0559,0.00,,,,,,
11/1/2023 12:00:00 AM,AA,117,JFK,LAX,1729,1733,0.00,0,1700-1759,0.00,,4.00,0.00,19.00,0.00,0.00
11/1/2023 12:00:00 AM,AA,1175,DFW,SFO,1705,1702,0.00,-1,1700-1759,0.00,,,,,,
11/1/2023 12:00:00 AM,AA,1179,ORD,SNA,1833,1824,0.00,-1,1800-1859,0.00,,,,,,
11/1/2023 12:00:00 AM,AA,118,LAX,JFK,0700,0657,0.00,-1,0700-0759,0.00,,,,,,
11/1/2023 12:00:00 AM,AA,1180,SBP,DFW,1234,1230,0.00,-1,1200-1259,0.00,,,,,,
11/1/2023 12:00:00 AM,AA,1181,LAS,LAX,1950,1944,0.00,-1,1900-1959,0.00,,,,,,
11/1/2023 12:00:00 AM,AA,1198,SFO,DFW,0544,0538,0.00,-1,0001-0559,0.00,,,,,,
11/1/2023 12:00:00 AM,AA,1208,BUR,DFW,1317,1307,0.00,-1,1300-1359,0.00,,0.00,0.00,18.00,0.00,0.00
11/1/2023 12:00:00 AM,AA,1208,DFW,BUR,1050,1044,0.00,-1,1000-1059,0.00,,,,,,
11/1/2023 12:00:00 AM,AA,1227,DFW,SNA,1858,1854,0.00,-1,1800-1859,0.00,,,,,,
11/1/2023 12:00:00 AM,AA,1233,SMF,DFW,0700,0654,0.00,-1,0700-0759,0.00,,,,,,
11/1/2023 12:00:00 AM,AA,1244,ORD,SAN,1845,1837,0.00,-1,1800-1859,0.00,,,,,,
11/1/2023 12:00:00 AM,AA,1244,SAN,ORD,2252,2239,0.00,-1,2200-2259,0.00,,,,,,
11/1/2023 12:00:00 AM,AA,1245,LAX,BNA,1216,1217,0.00,0,1200-1259,0.00,,,,,,
11/1/2023 12:00:00 AM,AA,1248,LAX,CLT,1129,1133,0.00,0,1100-1159,0.00,,,,,,
11/1/2023 12:00:00 AM,AA,1252,DFW,SMF,1754,1752,0.00,-1,1700-1759,0.00,,,,,,
11/1/2023 12:00:00 AM,AA,1270,LAX,PHX,1245,1245,0.00,0,1200-1259,0.00,,,,,,
11/1/2023 12:00:00 AM,AA,1275,DCA,LAX,0740,0739,0.00,-1,0700-0759,0.00,,,,,,
11/1/2023 12:00:00 AM,AA,1315,LAX,ATL,0945,0941,0.00,-1,0900-0959,0.00,,,,,,
11/1/2023 12:00:00 AM,AA,1321,LAX,DFW,1730,1719,0.00,-1,1700-1759,0.00,,,,,,
11/1/2023 12:00:00 AM,AA,1331,DFW,LAX,1230,1231,0.00,0,1200-1259,0.00,,,,,,
11/1/2023 12:00:00 AM,AA,1345,DFW,LAX,1500,1457,0.00,-1,1500-1559,0.00,,,,,,
11/1/2023 12:00:00 AM,AA,1348,DFW,LAX,1600,1551,0.00,-1,1600-1659,0.00,,,,,,
11/1/2023 12:00:00 AM,AA,1348,LAX,DFW,1830,1820,0.00,-1,1800-1859,0.00,,,,,,
11/1/2023 12:00:00 AM,AA,1381,DFW,FAT,2230,2225,0.00,-1,2200-2259,0.00,,,,,,
11/1/2023 12:00:00 AM,AA,1382,SNA,DFW,0645,0644,0.00,-1,0600-0659,0.00,,,,,,
11/1/2023 12:00:00 AM,AA,1399,DFW,SAN,2051,2045,0.00,-1,2000-2059,0.00,,,,,,
11/1/2023 12:00:00 AM,AA,1409,BNA,LAX,0830,0825,0.00,-1,0800-0859,0.00,,,,,,
11/1/2023 12:00:00 AM,AA,1412,ONT,DFW,0630,0632,0.00,0,0600-0659,0.00,,,,,,
11/1/2023 12:00:00 AM,AA,143,LAX,HNL,1517,1512,0.00,-1,1500-1559,0.00,,,,,,
11/1/2023 12:00:00 AM,AA,1430,DFW,SFO,1855,1855,0.00,0,1800-1859,0.00,,,,,,
11/1/2023 12:00:00 AM,AA,1442,SFO,DFW,1118,1116,0.00,-1,1100-1159,0.00,,,,,,
11/1/2023 12:00:00 AM,AA,1443,SFO,PHL,0615,0609,0.00,-1,0600-0659,0.00,,,,,,
11/1/2023 12:00:00 AM,AA,1462,IND,LAX,1730,1750,1.00,1,1700-1759,0.00,,,,,,
11/1/2023 12:00:00 AM,AA,1464,DFW,SFO,1945,0510,1.00,12,1900-1959,0.00,,254.00,0.00,4.00,0.00,311.00
11/1/2023 12:00:00 AM,AA,1483,DFW,SBA,1935,1933,0.00,-1,1900-1959,0.00,,,,,,
11/1/2023 12:00:00 AM,AA,1499,LAX,CLT,0600,0559,0.00,-1,0600-0659,0.00,,,,,,
11/1/2023 12:00:00 AM,AA,1543,ORD,SAN,1655,1653,0.00,-1,1600-1659,0.00,,,,,,
11/1/2023 12:00:00 AM,AA,1544,SMF,DFW,0600,0558,0.00,-1,0600-0659,0.00,,,,,,
11/1/2023 12:00:00 AM,AA,1563,DFW,MRY,1940,2041,1.00,4,1900-1959,0.00,,6.00,0.00,0.00,0.00,44.00
11/1/2023 12:00:00 AM,AA,1573,FAT,PHX,1630,1633,0.00,0,1600-1659,0.00,,,,,,
11/1/2023 12:00:00 AM,AA,1573,PHX,FAT,1407,1408,0.00,0,1400-1459,0.00,,,,,,
11/1/2023 12:00:00 AM,AA,1580,CLT,SFO,1337,1454,1.00,5,1300-1359,0.00,,74.00,0.00,0.00,0.00,0.00
11/1/2023 12:00:00 AM,AA,1582,LAX,DFW,2351,0130,1.00,6,2300-2359,0.00,,83.00,0.00,0.00,0.00,0.00
11/1/2023 12:00:00 AM,AA,1591,PHX,SBA,1430,1423,0.00,-1,1400-1459,0.00,,,,,,
11/1/2023 12:00:00 AM,AA,1591,SBA,PHX,1640,1630,0.00,-1,1600-1659,0.00,,,,,,
11/1/2023 12:00:00 AM,AA,16,SFO,JFK,1320,1314,0.00,-1,1300-1359,0.00,,,,,,
11/1/2023 12:00:00 AM,AA,162,HNL,LAX,1306,1304,0.00,-1,1300-1359,0.00,,,,,,
11/1/2023 12:00:00 AM,AA,1621,CLT,SFO,2011,2041,1.00,2,2000-2059,0.00,,30.00,0.00,3.00,0.00,0.00
11/1/2023 12:00:00 AM,AA,1632,BOS,LAX,1805,1757,0.00,-1,1800-1859,0.00,,,,,,
