FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,ORIGIN,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,DEP_DELAY_GROUP,DEP_TIME_BLK,CANCELLED,CANCELLATION_CODE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
11/1/2024 12:00:00 AM,AA,1,JFK,LAX,0600,0554,-6.00,-1,0600-0659,0.00,,0.00,0.00,21.00,0.00,0.00
11/1/2024 12:00:00 AM,AA,10,LAX,JFK,2258,2254,-4.00,-1,2200-2259,0.00,,,,,,
11/1/2024 12:00:00 AM,AA,1002,LAX,PHL,0755,0755,0.00,0,0700-0759,0.00,,,,,,
11/1/2024 12:00:00 AM,AA,1015,LAX,LAS,0800,0757,-3.00,-1,0800-0859,0.00,,,,,,
11/1/2024 12:00:00 AM,AA,1021,LAX,ORD,0500,0804,184.00,12,0001-0559,0.00,,168.00,0.00,0.00,0.00,0.00
11/1/2024 12:00:00 AM,AA,1024,DFW,BFL,1455,1708,133.00,8,1400-1459,0.00,,103.00,0.00,3.00,0.00,30.00
11/1/2024 12:00:00 AM,AA,1037,SBA,PHX,0625,0624,-1.00,-1,0600-0659,0.00,,,,,,
11/1/2024 12:00:00 AM,AA,1055,DFW,SAN,1037,1034,-3.00,-1,1000-1059,0.00,,,,,,
11/1/2024 12:00:00 AM,AA,1140,LAX,ORD,2349,2339,-10.00,-1,2300-2359,0.00,,,,,,
11/1/2024 12:00:00 AM,AA,1143,LAX,MIA,0049,0046,-3.00,-1,0001-0559,0.00,,,,,,
11/1/2024 12:00:00 AM,AA,1162,DFW,ONT,2125,2121,-4.00,-1,2100-2159,0.00,,,,,,
11/1/2024 12:00:00 AM,AA,117,JFK,LAX,1928,1920,-8.00,-1,1900-1959,0.00,,,,,,
11/1/2024 12:00:00 AM,AA,1175,DFW,SFO,1720,1813,53.00,3,1700-1759,0.00,,52.00,0.00,0.00,0.00,0.00
11/1/2024 12:00:00 AM,AA,1179,ORD,SNA,1715,1846,91.00,6,1700-1759,0.00,,0.00,0.00,21.00,0.00,91.00
11/1/2024 12:00:00 AM,AA,118,LAX,JFK,0657,0648,-9.00,-1,0600-0659,0.00,,,,,,
11/1/2024 12:00:00 AM,AA,1185,LAX,SFO,1212,1208,-4.00,-1,1200-1259,0.00,,,,,,
11/1/2024 12:00:00 AM,AA,1185,SFO,LAX,1450,1451,1.00,0,1400-1459,0.00,,,,,,
11/1/2024 12:00:00 AM,AA,1208,BUR,DFW,1231,1221,-10.00,-1,1200-1259,0.00,,,,,,
11/1/2024 12:00:00 AM,AA,1208,DFW,BUR,1008,1006,-2.00,-1,1000-1059,0.00,,,,,,
11/1/2024 12:00:00 AM,AA,1209,SAN,PHX,0853,0850,-3.00,-1,0800-0859,0.00,,,,,,
11/1/2024 12:00:00 AM,AA,1218,PHX,SAN,1409,1419,10.00,0,1400-1459,0.00,,,,,,
11/1/2024 12:00:00 AM,AA,1225,ATL,LAX,1623,1624,1.00,0,1600-1659,0.00,,,,,,
11/1/2024 12:00:00 AM,AA,1240,DCA,LAX,1720,1711,-9.00,-1,1700-1759,0.00,,,,,,
11/1/2024 12:00:00 AM,AA,1240,LAX,DCA,0758,0754,-4.00,-1,0700-0759,0.00,,,,,,
11/1/2024 12:00:00 AM,AA,1263,ORD,SAN,1920,1934,14.00,0,1900-1959,0.00,,,,,,
11/1/2024 12:00:00 AM,AA,1272,SAN,DFW,0709,0713,4.00,0,0700-0759,0.00,,,,,,
11/1/2024 12:00:00 AM,AA,1305,LAX,DFW,1340,1340,0.00,0,1300-1359,0.00,,,,,,
11/1/2024 12:00:00 AM,AA,1358,ORD,LAX,0955,0954,-1.00,-1,0900-0959,0.00,,,,,,
11/1/2024 12:00:00 AM,AA,1369,SAN,DFW,1433,1429,-4.00,-1,1400-1459,0.00,,,,,,
11/1/2024 12:00:00 AM,AA,1382,SNA,DFW,0645,0638,-7.00,-1,0600-0659,0.00,,,,,,
11/1/2024 12:00:00 AM,AA,1383,LAX,SAT,0956,0953,-3.00,-1,0900-0959,0.00,,,,,,
11/1/2024 12:00:00 AM,AA,1383,SAT,LAX,1528,1530,2.00,0,1500-1559,0.00,,,,,,
11/1/2024 12:00:00 AM,AA,1399,DFW,SAN,2045,2111,26.00,1,2000-2059,0.00,,4.00,0.00,2.00,0.00,22.00
11/1/2024 12:00:00 AM,AA,140,LAX,ATL,0931,0931,0.00,0,0900-0959,0.00,,,,,,
11/1/2024 12:00:00 AM,AA,1409,BNA,LAX,1619,1611,-8.00,-1,1600-1659,0.00,,,,,,
11/1/2024 12:00:00 AM,AA,1409,LAX,BNA,0926,0924,-2.00,-1,0900-0959,0.00,,,,,,
11/1/2024 12:00:00 AM,AA,1412,ONT,DFW,0610,0605,-5.00,-1,0600-0659,0.00,,,,,,
11/1/2024 12:00:00 AM,AA,1414,SFO,DFW,1221,1227,6.00,0,1200-1259,0.00,,,,,,
11/1/2024 12:00:00 AM,AA,143,LAX,HNL,1420,1420,0.00,0,1400-1459,0.00,,,,,,
11/1/2024 12:00:00 AM,AA,1437,LAX,IND,1012,1009,-3.00,-1,1000-1059,0.00,,,,,,
11/1/2024 12:00:00 AM,AA,144,HNL,LAX,2300,2256,-4.00,-1,2300-2359,0.00,,,,,,
11/1/2024 12:00:00 AM,AA,147,PHX,SBP,1009,1001,-8.00,-1,1000-1059,0.00,,,,,,
11/1/2024 12:00:00 AM,AA,147,SBP,PHX,1236,1233,-3.00,-1,1200-1259,0.00,,,,,,
11/1/2024 12:00:00 AM,AA,1489,PHL,SAN,1841,1837,-4.00,-1,1800-1859,0.00,,,,,,
11/1/2024 12:00:00 AM,AA,1499,LAX,CLT,0559,0557,-2.00,-1,0001-0559,0.00,,,,,,
11/1/2024 12:00:00 AM,AA,1504,LAX,DFW,1645,1659,14.00,0,1600-1659,0.00,,,,,,
11/1/2024 12:00:00 AM,AA,1510,PHL,LAX,2025,2023,-2.00,-1,2000-2059,0.00,,0.00,0.00,28.00,0.00,0.00
11/1/2024 12:00:00 AM,AA,1514,SAN,PHL,0912,0910,-2.00,-1,0900-0959,0.00,,,,,,
11/1/2024 12:00:00 AM,AA,1517,BUR,PHX,1926,1928,2.00,0,1900-1959,0.00,,,,,,
11/1/2024 12:00:00 AM,AA,1517,PHX,BUR,1710,1706,-4.00,-1,1700-1759,0.00,,,,,,
11/1/2024 12:00:00 AM,AA,1518,LAX,PHX,1238,1251,13.00,0,1200-1259,0.00,,,,,,
11/1/2024 12:00:00 AM,AA,1518,PHX,LAX,1004,1020,16.00,1,1000-1059,0.00,,,,,,
11/1/2024 12:00:00 AM,AA,1526,MIA,LAX,0838,0836,-2.00,-1,0800-0859,0.00,,,,,,
11/1/2024 12:00:00 AM,AA,1528,DCA,LAX,0817,0813,-4.00,-1,0800-0859,0.00,,,,,,
11/1/2024 12:00:00 AM,AA,1534,ONT,DFW,0810,0806,-4.00,-1,0800-0859,0.00,,,,,,
11/1/2024 12:00:00 AM,AA,1540,LAX,DFW,1450,1459,9.00,0,1400-1459,0.00,,,,,,
11/1/2024 12:00:00 AM,AA,1543,ORD,SAN,1706,2109,243.00,12,1700-1759,0.00,,5.00,0.00,15.00,0.00,218.00
