FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,ORIGIN,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,DEP_DELAY_GROUP,DEP_TIME_BLK,CANCELLED,CANCELLATION_CODE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
10/1/2024 12:00:00 AM,AA,1,JFK,LAX,0600,0556,-4.00,-1,0600-0659,0.00,,,,,,
10/1/2024 12:00:00 AM,AA,10,LAX,JFK,2225,2229,4.00,0,2200-2259,0.00,,4.00,0.00,15.00,0.00,0.00
10/1/2024 12:00:00 AM,AA,1002,LAX,PHL,0815,0814,-1.00,-1,0800-0859,0.00,,,,,,
10/1/2024 12:00:00 AM,AA,1021,LAX,ORD,0605,0924,199.00,12,0600-0659,0.00,,186.00,0.00,0.00,0.00,0.00
10/1/2024 12:00:00 AM,AA,1024,DFW,BFL,1900,1854,-6.00,-1,1900-1959,0.00,,,,,,
10/1/2024 12:00:00 AM,AA,1055,DFW,SAN,1100,1201,61.00,4,1100-1159,0.00,,0.00,0.00,0.00,0.00,52.00
10/1/2024 12:00:00 AM,AA,1162,DFW,ONT,2142,2141,-1.00,-1,2100-2159,0.00,,,,,,
10/1/2024 12:00:00 AM,AA,117,JFK,LAX,1925,1922,-3.00,-1,1900-1959,0.00,,,,,,
10/1/2024 12:00:00 AM,AA,1175,DFW,SFO,1724,1719,-5.00,-1,1700-1759,0.00,,,,,,
10/1/2024 12:00:00 AM,AA,1179,ORD,SNA,1845,1907,22.00,1,1800-1859,0.00,,,,,,
10/1/2024 12:00:00 AM,AA,118,LAX,JFK,0657,0651,-6.00,-1,0600-0659,0.00,,,,,,
10/1/2024 12:00:00 AM,AA,1183,CLT,LAX,0900,0913,13.00,0,0900-0959,0.00,,,,,,
10/1/2024 12:00:00 AM,AA,1195,LAX,CLT,2311,2316,5.00,0,2300-2359,0.00,,,,,,
10/1/2024 12:00:00 AM,AA,1208,BUR,DFW,1234,1225,-9.00,-1,1200-1259,0.00,,,,,,
10/1/2024 12:00:00 AM,AA,1208,DFW,BUR,1010,1008,-2.00,-1,1000-1059,0.00,,,,,,
10/1/2024 12:00:00 AM,AA,1218,PHX,SAN,1409,1357,-12.00,-1,1400-1459,0.00,,,,,,
10/1/2024 12:00:00 AM,AA,1225,CLT,ONT,1445,1445,0.00,0,1400-1459,0.00,,,,,,
10/1/2024 12:00:00 AM,AA,1240,DCA,LAX,1720,1724,4.00,0,1700-1759,0.00,,,,,,
10/1/2024 12:00:00 AM,AA,1240,LAX,DCA,0750,0744,-6.00,-1,0700-0759,0.00,,0.00,0.00,15.00,0.00,0.00
