FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,ORIGIN,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DEL15,DEP_DELAY_GROUP,DEP_TIME_BLK,CANCELLED,CANCELLATION_CODE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
9/1/2023 12:00:00 AM,AA,1,JFK,LAX,0600,0556,0.00,-1,0600-0659,0.00,,,,,,
9/1/2023 12:00:00 AM,AA,10,LAX,JFK,2223,2217,0.00,-1,2200-2259,0.00,,,,,,
9/1/2023 12:00:00 AM,AA,1005,BFL,DFW,1223,1219,0.00,-1,1200-1259,0.00,,,,,,
9/1/2023 12:00:00 AM,AA,1005,DFW,BFL,1009,1019,0.00,0,1000-1059,0.00,,,,,,
9/1/2023 12:00:00 AM,AA,1019,SJC,DFW,0610,0606,0.00,-1,0600-0659,0.00,,,,,,
9/1/2023 12:00:00 AM,AA,1021,PHX,SJC,1002,0956,0.00,-1,1000-1059,0.00,,,,,,
9/1/2023 12:00:00 AM,AA,1021,SJC,PHX,1240,1248,0.00,0,1200-1259,0.00,,8.00,0.00,7.00,0.00,0.00
9/1/2023 12:00:00 AM,AA,1024,DFW,BFL,2245,2245,0.00,0,2200-2259,0.00,,0.00,0.00,15.00,0.00,0.00
9/1/2023 12:00:00 AM,AA,1039,DFW,LAX,1400,1357,0.00,-1,1400-1459,0.00,,,,,,
9/1/2023 12:00:00 AM,AA,1041,PHL,LAX,2045,2041,0.00,-1,2000-2059,0.00,,,,,,
9/1/2023 12:00:00 AM,AA,1055,SAN,DFW,0616,0612,0.00,-1,0600-0659,0.00,,,,,,
9/1/2023 12:00:00 AM,AA,1086,AUS,LAX,2005,1955,0.00,-1,2000-2059,0.00,,,,,,
9/1/2023 12:00:00 AM,AA,1114,LAX,MIA,0805,0804,0.00,-1,0800-0859,0.00,,,,,,
9/1/2023 12:00:00 AM,AA,1146,LAX,CLT,0726,0725,0.00,-1,0700-0759,0.00,,,,,,
9/1/2023 12:00:00 AM,AA,1160,PHX,LAX,0822,0820,0.00,-1,0800-0859,0.00,,,,,,
9/1/2023 12:00:00 AM,AA,1161,SBP,DFW,0600,0552,0.00,-1,0600-0659,0.00,,,,,,
9/1/2023 12:00:00 AM,AA,1162,DFW,ONT,2133,2135,0.00,0,2100-2159,0.00,,1.00,0.00,26.00,0.00,1.00
9/1/2023 12:00:00 AM,AA,117,JFK,LAX,1734,1726,0.00,-1,1700-1759,0.00,,,,,,
9/1/2023 12:00:00 AM,AA,1175,DFW,SFO,1702,1742,1.00,2,1700-1759,0.00,,32.00,0.00,0.00,0.00,0.00
9/1/2023 12:00:00 AM,AA,1179,ORD,SNA,1830,1832,0.00,0,1800-1859,0.00,,2.00,0.00,28.00,0.00,0.00
9/1/2023 12:00:00 AM,AA,118,LAX,JFK,0700,0655,0.00,-1,0700-0759,0.00,,,,,,
9/1/2023 12:00:00 AM,AA,1180,SBP,DFW,1222,1224,0.00,0,1200-1259,0.00,,,,,,
9/1/2023 12:00:00 AM,AA,1181,LAS,LAX,2042,2238,1.00,7,2000-2059,0.00,,0.00,0.00,0.00,0.00,108.00
9/1/2023 12:00:00 AM,AA,1198,SFO,DFW,0600,0557,0.00,-1,0600-0659,0.00,,,,,,
9/1/2023 12:00:00 AM,AA,1208,BUR,DFW,1229,1222,0.00,-1,1200-1259,0.00,,,,,,
9/1/2023 12:00:00 AM,AA,1208,DFW,BUR,1007,1008,0.00,0,1000-1059,0.00,,,,,,
9/1/2023 12:00:00 AM,AA,1227,DFW,SNA,1753,1937,1.00,6,1700-1759,0.00,,104.00,0.00,0.00,0.00,0.00
9/1/2023 12:00:00 AM,AA,1233,SMF,DFW,0700,0655,0.00,-1,0700-0759,0.00,,,,,,
9/1/2023 12:00:00 AM,AA,1237,DFW,SFO,2121,2127,0.00,0,2100-2159,0.00,,,,,,
9/1/2023 12:00:00 AM,AA,1244,SAN,ORD,2246,2236,0.00,-1,2200-2259,0.00,,,,,,
9/1/2023 12:00:00 AM,AA,1247,MIA,LAX,1015,1122,1.00,4,1000-1059,0.00,,0.00,0.00,0.00,0.00,50.00
9/1/2023 12:00:00 AM,AA,1248,LAX,ATL,2132,2125,0.00,-1,2100-2159,0.00,,,,,,
9/1/2023 12:00:00 AM,AA,1252,DFW,SMF,1817,1856,1.00,2,1800-1859,0.00,,2.00,0.00,0.00,0.00,25.00
9/1/2023 12:00:00 AM,AA,1270,LAX,PHX,1210,1210,0.00,0,1200-1259,0.00,,,,,,
9/1/2023 12:00:00 AM,AA,1275,DCA,LAX,0756,0754,0.00,-1,0700-0759,0.00,,,,,,
9/1/2023 12:00:00 AM,AA,1287,LAX,BNA,1522,1524,0.00,0,1500-1559,0.00,,2.00,0.00,31.00,0.00,0.00
9/1/2023 12:00:00 AM,AA,1303,LAX,CLT,1110,1123,0.00,0,1100-1159,0.00,,,,,,
9/1/2023 12:00:00 AM,AA,1315,LAX,ATL,0942,0941,0.00,-1,0900-0959,0.00,,,,,,
9/1/2023 12:00:00 AM,AA,1321,DFW,LAX,1500,1727,1.00,9,1500-1559,0.00,,12.00,0.00,0.00,0.00,123.00
9/1/2023 12:00:00 AM,AA,1321,LAX,DFW,1715,1925,1.00,8,1700-1759,0.00,,0.00,0.00,0.00,0.00,113.00
9/1/2023 12:00:00 AM,AA,1331,DFW,LAX,1230,1245,1.00,1,1200-1259,0.00,,,,,,
9/1/2023 12:00:00 AM,AA,1348,DFW,LAX,1615,1646,1.00,2,1600-1659,0.00,,11.00,0.00,2.00,0.00,20.00
9/1/2023 12:00:00 AM,AA,1348,LAX,DFW,1830,1858,1.00,1,1800-1859,0.00,,,,,,
9/1/2023 12:00:00 AM,AA,1372,LAX,DFW,1050,1703,1.00,12,1000-1059,0.00,,143.00,0.00,3.00,0.00,230.00
9/1/2023 12:00:00 AM,AA,1381,DFW,FAT,2241,0003,1.00,5,2200-2259,0.00,,0.00,0.00,0.00,0.00,69.00
9/1/2023 12:00:00 AM,AA,1382,SNA,DFW,0645,0640,0.00,-1,0600-0659,0.00,,,,,,
9/1/2023 12:00:00 AM,AA,1384,ORD,LAX,1820,1913,1.00,3,1800-1859,0.00,,41.00,0.00,6.00,0.00,12.00
9/1/2023 12:00:00 AM,AA,1399,DFW,SAN,2051,0618,1.00,12,2000-2059,0.00,,312.00,0.00,0.00,0.00,239.00
9/1/2023 12:00:00 AM,AA,14,OGG,LAX,2140,2131,0.00,-1,2100-2159,0.00,,,,,,
9/1/2023 12:00:00 AM,AA,1409,BNA,LAX,0800,0750,0.00,-1,0800-0859,0.00,,,,,,
9/1/2023 12:00:00 AM,AA,1412,ONT,DFW,0626,0621,0.00,-1,0600-0659,0.00,,,,,,
9/1/2023 12:00:00 AM,AA,1424,AUS,LAX,1551,1552,0.00,0,1500-1559,0.00,,,,,,
9/1/2023 12:00:00 AM,AA,1430,DFW,SFO,1911,2319,1.00,12,1900-1959,0.00,,0.00,0.00,0.00,0.00,219.00
9/1/2023 12:00:00 AM,AA,1442,SFO,DFW,1136,1129,0.00,-1,1100-1159,0.00,,,,,,
9/1/2023 12:00:00 AM,AA,1443,SFO,PHL,0628,0650,1.00,1,0600-0659,0.00,,22.00,0.00,5.00,0.00,0.00
9/1/2023 12:00:00 AM,AA,1462,IND,LAX,1605,1606,0.00,0,1600-1659,0.00,,,,,,
9/1/2023 12:00:00 AM,AA,1483,DFW,SBA,1935,1930,0.00,-1,1900-1959,0.00,,,,,,
9/1/2023 12:00:00 AM,AA,1484,DFW,LAX,2230,2250,1.00,1,2200-2259,0.00,,,,,,
9/1/2023 12:00:00 AM,AA,1499,LAX,CLT,0600,0600,0.00,0,0600-0659,0.00,,,,,,
9/1/2023 12:00:00 AM,AA,1534,ONT,DFW,0730,0722,0.00,-1,0700-0759,0.00,,,,,,
9/1/2023 12:00:00 AM,AA,1543,ORD,SAN,1702,1854,1.00,7,1700-1759,0.00,,6.00,0.00,8.00,0.00,106.00
9/1/2023 12:00:00 AM,AA,1544,SMF,DFW,0600,0558,0.00,-1,0600-0659,0.00,,,,,,
9/1/2023 12:00:00 AM,AA,1548,CLT,SNA,1826,1839,0.00,0,1800-1859,0.00,,,,,,
9/1/2023 12:00:00 AM,AA,1563,DFW,MRY,2010,2336,1.00,12,2000-2059,0.00,,92.00,0.00,0.00,0.00,94.00
9/1/2023 12:00:00 AM,AA,1573,FAT,PHX,1626,1618,0.00,-1,1600-1659,0.00,,,,,,
9/1/2023 12:00:00 AM,AA,1573,PHX,FAT,1403,1356,0.00,-1,1400-1459,0.00,,,,,,
