FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,ORIGIN,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,DEP_DELAY_GROUP,DEP_TIME_BLK,CANCELLED,CANCELLATION_CODE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
9/1/2024 12:00:00 AM,AA,1,JFK,LAX,0600,0555,-5.00,-1,0600-0659,0.00,,,,,,
9/1/2024 12:00:00 AM,AA,10,LAX,JFK,2120,2127,7.00,0,2100-2159,0.00,,,,,,
9/1/2024 12:00:00 AM,AA,1002,LAX,DFW,0900,0900,0.00,0,0900-0959,0.00,,,,,,
9/1/2024 12:00:00 AM,AA,1005,BFL,DFW,1230,1225,-5.00,-1,1200-1259,0.00,,,,,,
9/1/2024 12:00:00 AM,AA,1005,DFW,BFL,1021,1021,0.00,0,1000-1059,0.00,,,,,,
9/1/2024 12:00:00 AM,AA,1021,LAX,ORD,0600,0557,-3.00,-1,0600-0659,0.00,,,,,,
9/1/2024 12:00:00 AM,AA,1024,DFW,BFL,2050,2103,13.00,0,2000-2059,0.00,,0.00,0.00,32.00,0.00,13.00
9/1/2024 12:00:00 AM,AA,1055,SAN,DFW,0615,0612,-3.00,-1,0600-0659,0.00,,,,,,
9/1/2024 12:00:00 AM,AA,1140,CLT,LAX,2046,2213,87.00,5,2000-2059,0.00,,0.00,33.00,34.00,0.00,54.00
9/1/2024 12:00:00 AM,AA,1140,LAX,CLT,1131,1241,70.00,4,1100-1159,0.00,,70.00,0.00,6.00,0.00,0.00
9/1/2024 12:00:00 AM,AA,1161,SBP,DFW,0600,0559,-1.00,-1,0600-0659,0.00,,,,,,
9/1/2024 12:00:00 AM,AA,1162,DFW,ONT,2141,2142,1.00,0,2100-2159,0.00,,1.00,0.00,37.00,0.00,0.00
9/1/2024 12:00:00 AM,AA,117,JFK,LAX,1930,1930,0.00,0,1900-1959,0.00,,,,,,
9/1/2024 12:00:00 AM,AA,1179,ORD,SNA,1720,1720,0.00,0,1700-1759,0.00,,,,,,
9/1/2024 12:00:00 AM,AA,118,LAX,JFK,0650,0641,-9.00,-1,0600-0659,0.00,,,,,,
9/1/2024 12:00:00 AM,AA,1208,BUR,DFW,1234,1228,-6.00,-1,1200-1259,0.00,,,,,,
9/1/2024 12:00:00 AM,AA,1208,DFW,BUR,1015,1016,1.00,0,1000-1059,0.00,,,,,,
9/1/2024 12:00:00 AM,AA,1210,LAX,PHL,0812,0826,14.00,0,0800-0859,0.00,,,,,,
9/1/2024 12:00:00 AM,AA,1218,PHX,SAN,1406,1414,8.00,0,1400-1459,0.00,,,,,,
9/1/2024 12:00:00 AM,AA,122,DFW,SFO,2245,2255,10.00,0,2200-2259,0.00,,,,,,
9/1/2024 12:00:00 AM,AA,1225,LAX,ORD,2310,2310,0.00,0,2300-2359,0.00,,,,,,
9/1/2024 12:00:00 AM,AA,1240,DCA,LAX,1705,1657,-8.00,-1,1700-1759,0.00,,,,,,
9/1/2024 12:00:00 AM,AA,1240,LAX,DCA,0759,0756,-3.00,-1,0700-0759,0.00,,,,,,
9/1/2024 12:00:00 AM,AA,1263,ORD,SAN,1845,1854,9.00,0,1800-1859,0.00,,,,,,
9/1/2024 12:00:00 AM,AA,1270,SBA,PHX,1318,1312,-6.00,-1,1300-1359,0.00,,,,,,
9/1/2024 12:00:00 AM,AA,1272,SAN,DFW,0825,0829,4.00,0,0800-0859,0.00,,,,,,
9/1/2024 12:00:00 AM,AA,1298,ORD,LAX,0550,0543,-7.00,-1,0001-0559,0.00,,,,,,
9/1/2024 12:00:00 AM,AA,1305,LAX,DFW,1336,1331,-5.00,-1,1300-1359,0.00,,,,,,
9/1/2024 12:00:00 AM,AA,131,PHX,SBP,1350,1447,57.00,3,1300-1359,0.00,,57.00,0.00,1.00,0.00,0.00
9/1/2024 12:00:00 AM,AA,131,SBP,PHX,1605,1800,115.00,7,1600-1659,0.00,,57.00,0.00,0.00,0.00,56.00
9/1/2024 12:00:00 AM,AA,1369,DFW,SAN,1047,1042,-5.00,-1,1000-1059,0.00,,,,,,
9/1/2024 12:00:00 AM,AA,1382,SNA,DFW,0745,0739,-6.00,-1,0700-0759,0.00,,,,,,
9/1/2024 12:00:00 AM,AA,1385,CLT,SFO,2130,2329,119.00,7,2100-2159,0.00,,0.00,14.00,0.00,0.00,99.00
9/1/2024 12:00:00 AM,AA,1399,DFW,SAN,2048,2216,88.00,5,2000-2059,0.00,,0.00,0.00,12.00,0.00,88.00
9/1/2024 12:00:00 AM,AA,1409,LAX,BNA,1015,1014,-1.00,-1,1000-1059,0.00,,0.00,0.00,22.00,0.00,0.00
9/1/2024 12:00:00 AM,AA,1412,ONT,DFW,0600,0600,0.00,0,0600-0659,0.00,,,,,,
9/1/2024 12:00:00 AM,AA,1414,SFO,DFW,1216,1213,-3.00,-1,1200-1259,0.00,,,,,,
9/1/2024 12:00:00 AM,AA,143,LAX,HNL,1418,1414,-4.00,-1,1400-1459,0.00,,,,,,
9/1/2024 12:00:00 AM,AA,1430,DFW,SFO,1830,1833,3.00,0,1800-1859,0.00,,,,,,
9/1/2024 12:00:00 AM,AA,1437,LAX,IND,1012,1021,9.00,0,1000-1059,0.00,,,,,,
9/1/2024 12:00:00 AM,AA,144,HNL,LAX,2244,2243,-1.00,-1,2200-2259,0.00,,,,,,
9/1/2024 12:00:00 AM,AA,1483,DFW,SBA,1907,1912,5.00,0,1900-1959,0.00,,,,,,
9/1/2024 12:00:00 AM,AA,1489,PHL,SAN,1554,1550,-4.00,-1,1500-1559,0.00,,,,,,
9/1/2024 12:00:00 AM,AA,1499,LAX,CLT,0600,0613,13.00,0,0600-0659,0.00,,,,,,
9/1/2024 12:00:00 AM,AA,1504,DFW,LAX,1500,1501,1.00,0,1500-1559,0.00,,,,,,
9/1/2024 12:00:00 AM,AA,1504,LAX,DFW,1730,1719,-11.00,-1,1700-1759,0.00,,,,,,
9/1/2024 12:00:00 AM,AA,1510,PHL,LAX,2109,2157,48.00,3,2100-2159,0.00,,37.00,0.00,0.00,0.00,0.00
9/1/2024 12:00:00 AM,AA,1514,SAN,PHL,0620,0622,2.00,0,0600-0659,0.00,,,,,,
9/1/2024 12:00:00 AM,AA,1517,BUR,PHX,1919,2129,130.00,8,1900-1959,0.00,,5.00,0.00,0.00,0.00,119.00
9/1/2024 12:00:00 AM,AA,1517,PHX,BUR,1714,1919,125.00,8,1700-1759,0.00,,0.00,0.00,0.00,0.00,125.00
9/1/2024 12:00:00 AM,AA,1518,PHX,LAX,1035,1035,0.00,0,1000-1059,0.00,,,,,,
9/1/2024 12:00:00 AM,AA,1521,LAX,MIA,1208,1201,-7.00,-1,1200-1259,0.00,,0.00,0.00,42.00,0.00,0.00
9/1/2024 12:00:00 AM,AA,1521,MIA,LAX,2128,2257,89.00,5,2100-2159,0.00,,52.00,0.00,12.00,0.00,37.00
9/1/2024 12:00:00 AM,AA,1526,LAX,MIA,1330,1336,6.00,0,1300-1359,0.00,,,,,,
9/1/2024 12:00:00 AM,AA,1526,MIA,LAX,1002,1017,15.00,1,1000-1059,0.00,,15.00,0.00,13.00,0.00,0.00
9/1/2024 12:00:00 AM,AA,1528,DCA,LAX,0830,0825,-5.00,-1,0800-0859,0.00,,,,,,
9/1/2024 12:00:00 AM,AA,1534,ONT,DFW,0810,0802,-8.00,-1,0800-0859,0.00,,,,,,
9/1/2024 12:00:00 AM,AA,1540,DFW,LAX,1300,1257,-3.00,-1,1300-1359,0.00,,,,,,
9/1/2024 12:00:00 AM,AA,1543,ORD,SAN,1655,1646,-9.00,-1,1600-1659,0.00,,,,,,
9/1/2024 12:00:00 AM,AA,1544,SMF,DFW,0600,0554,-6.00,-1,0600-0659,0.00,,,,,,
9/1/2024 12:00:00 AM,AA,1547,LAX,MIA,1016,1051,35.00,2,1000-1059,0.00,,35.00,0.00,4.00,0.00,0.00
9/1/2024 12:00:00 AM,AA,1547,MIA,LAX,1937,2023,46.00,3,1900-1959,0.00,,12.00,0.00,0.00,0.00,34.00
9/1/2024 12:00:00 AM,AA,1551,LAX,ORD,1746,1750,4.00,0,1700-1759,0.00,,,,,,
9/1/2024 12:00:00 AM,AA,1551,ORD,LAX,1423,1420,-3.00,-1,1400-1459,0.00,,,,,,
9/1/2024 12:00:00 AM,AA,1563,DFW,MRY,1931,1922,-9.00,-1,1900-1959,0.00,,,,,,
9/1/2024 12:00:00 AM,AA,1564,ORD,LAX,1824,1822,-2.00,-1,1800-1859,0.00,,,,,,
9/1/2024 12:00:00 AM,AA,1571,MIA,LAX,0841,0846,5.00,0,0800-0859,0.00,,5.00,0.00,31.00,0.00,0.00
9/1/2024 12:00:00 AM,AA,1580,CLT,SFO,1215,1209,-6.00,-1,1200-1259,0.00,,,,,,
9/1/2024 12:00:00 AM,AA,1582,LAX,DFW,1430,1426,-4.00,-1,1400-1459,0.00,,,,,,
9/1/2024 12:00:00 AM,AA,1585,LAX,ORD,1317,1721,244.00,12,1300-1359,0.00,,0.00,0.00,0.00,0.00,228.00
9/1/2024 12:00:00 AM,AA,1586,LAX,CLT,2159,2153,-6.00,-1,2100-2159,0.00,,,,,,
9/1/2024 12:00:00 AM,AA,1590,LAX,CLT,0917,0910,-7.00,-1,0900-0959,0.00,,,,,,
9/1/2024 12:00:00 AM,AA,1592,CLT,LAX,0936,0930,-6.00,-1,0900-0959,0.00,,,,,,
9/1/2024 12:00:00 AM,AA,1594,LAX,ORD,1006,1003,-3.00,-1,1000-1059,0.00,,,,,,
9/1/2024 12:00:00 AM,AA,1597,LAX,ORD,2359,2355,-4.00,-1,2300-2359,0.00,,,,,,
9/1/2024 12:00:00 AM,AA,1597,ORD,LAX,2033,2038,5.00,0,2000-2059,0.00,,,,,,
