FL_DATE,CRS_DEP_TIME,DEP_TIME,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,DEST,DEP_DEL15,CANCELLED,CANCELLATION_CODE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,wind_dir_degrees,wind_speed_kt,wind_gust_kt,visibility_statute_mi,temperature_c,dewpoint_c,altimeter_hpa
2023-01-01,06:10:00,06:05:00,DL,977,DTW,0,0,,0,0,0,0,0,290.0,7.0,19.0,6.0,13.3,10.0,29.82
2023-01-01,06:15:00,06:17:00,DL,2423,SLC,0,0,,0,0,0,0,0,290.0,7.0,19.0,6.0,13.3,10.0,29.82
2023-01-01,06:15:00,06:44:00,AA,1651,CLT,1,0,,0,0,0,0,0,290.0,7.0,19.0,6.0,13.3,10.0,29.82
2023-01-01,06:15:00,06:15:00,DL,820,ATL,0,0,,0,0,0,0,0,290.0,7.0,19.0,6.0,13.3,10.0,29.82
2023-01-01,06:15:00,06:13:00,DL,914,MSP,0,0,,0,0,0,0,0,290.0,7.0,19.0,6.0,13.3,10.0,29.82
2023-01-01,06:20:00,06:20:00,WN,1150,LAS,0,0,,0,0,0,0,0,290.0,7.0,19.0,6.0,13.3,10.0,29.82
2023-01-01,06:20:00,06:18:00,WN,2400,PHX,0,0,,0,0,0,0,0,290.0,7.0,19.0,6.0,13.3,10.0,29.82
2023-01-01,06:20:00,06:18:00,AA,2535,DFW,0,0,,0,0,18,0,0,290.0,7.0,19.0,6.0,13.3,10.0,29.82
2023-01-01,06:25:00,06:22:00,F9,550,DEN,0,0,,0,0,0,0,0,290.0,7.0,19.0,6.0,13.3,10.0,29.82
2023-01-01,06:30:00,06:22:00,WN,2982,SMF,0,0,,0,0,0,0,0,290.0,7.0,19.0,6.0,13.3,10.0,29.82
2023-01-01,06:30:00,06:26:00,WN,2242,SJC,0,0,,0,0,0,0,0,290.0,7.0,19.0,6.0,13.3,10.0,29.82
2023-01-01,06:30:00,06:25:00,WN,2181,OAK,0,0,,0,0,0,0,0,290.0,7.0,19.0,6.0,13.3,10.0,29.82
2023-01-01,06:34:00,06:32:00,OO,4723,LAX,0,0,,0,0,0,0,0,290.0,7.0,19.0,6.0,13.3,10.0,29.82
2023-01-01,06:35:00,06:30:00,WN,3833,SFO,0,0,,0,0,0,0,0,290.0,7.0,19.0,6.0,13.3,10.0,29.82
2023-01-01,06:44:00,06:41:00,UA,2301,ORD,0,0,,0,0,0,0,0,290.0,7.0,19.0,6.0,13.3,10.0,29.82
2023-01-01,06:45:00,06:41:00,OO,3451,SFO,0,0,,0,0,0,0,0,290.0,7.0,19.0,6.0,13.3,10.0,29.82
2023-01-01,06:48:00,06:38:00,AA,799,PHL,0,0,,0,0,0,0,0,290.0,7.0,19.0,6.0,13.3,10.0,29.82
2023-01-01,07:00:00,06:56:00,WN,2386,SMF,0,0,,0,0,0,0,0,280.0,11.0,25.0,3.0,13.9,9.4,29.83
2023-01-01,07:00:00,06:58:00,AS,222,AUS,0,0,,0,0,0,0,0,280.0,11.0,25.0,3.0,13.9,9.4,29.83
2023-01-01,07:00:00,06:56:00,WN,2555,SJC,0,0,,0,0,0,0,0,280.0,11.0,25.0,3.0,13.9,9.4,29.83
2023-01-01,07:10:00,08:09:00,DL,358,JFK,1,0,,32,0,0,0,0,280.0,11.0,25.0,3.0,13.9,9.4,29.83
2023-01-01,07:10:00,07:04:00,WN,569,AUS,0,0,,0,0,0,0,0,280.0,11.0,25.0,3.0,13.9,9.4,29.83
2023-01-01,07:15:00,07:13:00,AA,1055,DFW,0,0,,0,0,0,0,0,280.0,11.0,25.0,3.0,13.9,9.4,29.83
2023-01-01,07:18:00,07:12:00,DL,1485,SEA,0,0,,0,0,0,0,0,280.0,11.0,25.0,3.0,13.9,9.4,29.83
2023-01-01,07:20:00,07:33:00,AS,180,JFK,0,0,,0,0,0,0,0,280.0,11.0,25.0,3.0,13.9,9.4,29.83
2023-01-01,07:20:00,,UA,598,EWR,0,1,A,0,0,0,0,0,280.0,11.0,25.0,3.0,13.9,9.4,29.83
2023-01-01,07:30:00,07:25:00,WN,636,DAL,0,0,,0,0,0,0,0,280.0,11.0,25.0,3.0,13.9,9.4,29.83
2023-01-01,07:30:00,07:22:00,WN,2249,SJC,0,0,,0,0,0,0,0,280.0,11.0,25.0,3.0,13.9,9.4,29.83
2023-01-01,07:30:00,07:27:00,WN,2227,SMF,0,0,,0,0,0,0,0,280.0,11.0,25.0,3.0,13.9,9.4,29.83
2023-01-01,07:35:00,09:43:00,NK,260,LAS,1,0,,100,0,33,0,0,280.0,11.0,25.0,3.0,13.9,9.4,29.83
2023-01-01,07:40:00,07:37:00,WN,1014,OAK,0,0,,0,0,0,0,0,280.0,11.0,25.0,3.0,13.9,9.4,29.83
2023-01-01,07:55:00,07:59:00,HA,15,HNL,0,0,,27,0,0,0,0,280.0,17.0,0.0,9.0,13.9,9.4,29.84
2023-01-01,08:00:00,07:57:00,WN,1775,SMF,0,0,,0,0,0,0,0,280.0,17.0,0.0,9.0,13.9,9.4,29.84
2023-01-01,08:00:00,07:55:00,WN,2751,SJC,0,0,,0,0,0,0,0,280.0,17.0,0.0,9.0,13.9,9.4,29.84
2023-01-01,08:00:00,07:54:00,WN,185,HNL,0,0,,0,0,0,0,0,280.0,17.0,0.0,9.0,13.9,9.4,29.84
2023-01-01,08:00:00,09:00:00,AS,300,LIH,1,0,,0,0,0,0,0,280.0,17.0,0.0,9.0,13.9,9.4,29.84
2023-01-01,08:00:00,07:57:00,UA,2272,IAH,0,0,,0,0,0,0,0,280.0,17.0,0.0,9.0,13.9,9.4,29.84
2023-01-01,08:00:00,08:43:00,AS,760,MCO,1,0,,0,0,0,0,0,280.0,17.0,0.0,9.0,13.9,9.4,29.84
2023-01-01,08:05:00,08:52:00,WN,345,DEN,1,0,,27,0,0,0,0,280.0,17.0,0.0,9.0,13.9,9.4,29.84
2023-01-01,08:05:00,08:05:00,WN,702,BNA,0,0,,0,0,0,0,0,280.0,17.0,0.0,9.0,13.9,9.4,29.84
2023-01-01,08:10:00,08:13:00,AS,772,EWR,0,0,,0,0,0,0,0,280.0,17.0,0.0,9.0,13.9,9.4,29.84
2023-01-01,08:10:00,08:09:00,WN,1439,LAS,0,0,,0,0,0,0,0,280.0,17.0,0.0,9.0,13.9,9.4,29.84
2023-01-01,08:10:00,08:03:00,UA,546,IAD,0,0,,0,0,0,0,0,280.0,17.0,0.0,9.0,13.9,9.4,29.84
2023-01-01,08:15:00,08:10:00,AA,1765,DFW,0,0,,0,0,0,0,0,280.0,17.0,0.0,9.0,13.9,9.4,29.84
2023-01-01,08:20:00,08:17:00,WN,154,PHX,0,0,,0,0,0,0,0,280.0,17.0,0.0,9.0,13.9,9.4,29.84
2023-01-01,08:30:00,08:26:00,WN,1084,SJC,0,0,,0,0,0,0,0,280.0,17.0,0.0,9.0,13.9,9.4,29.84
2023-01-01,08:30:00,08:27:00,WN,1682,SMF,0,0,,0,0,0,0,0,280.0,17.0,0.0,9.0,13.9,9.4,29.84
2023-01-01,08:34:00,08:28:00,F9,2128,LAS,0,0,,0,0,0,0,0,280.0,17.0,0.0,9.0,13.9,9.4,29.84
2023-01-01,08:50:00,09:09:00,AS,829,OGG,1,0,,0,0,0,0,0,280.0,17.0,0.0,9.0,13.9,9.4,29.84
2023-01-01,08:55:00,08:47:00,AS,1048,BOS,0,0,,0,0,0,0,0,280.0,17.0,24.0,10.0,14.4,9.4,29.86
2023-01-01,08:55:00,08:46:00,UA,2476,DEN,0,0,,0,0,0,0,0,280.0,17.0,24.0,10.0,14.4,9.4,29.86
2023-01-01,09:00:00,,WN,2525,SJC,0,1,A,0,0,0,0,0,280.0,17.0,24.0,10.0,14.4,9.4,29.86
2023-01-01,09:00:00,08:59:00,OO,3466,RDM,0,0,,0,0,0,0,0,280.0,17.0,24.0,10.0,14.4,9.4,29.86
2023-01-01,09:00:00,09:24:00,WN,646,SMF,1,0,,19,0,0,0,2,280.0,17.0,24.0,10.0,14.4,9.4,29.86
2023-01-01,09:05:00,08:59:00,WN,1663,MDW,0,0,,0,0,0,0,0,280.0,17.0,24.0,10.0,14.4,9.4,29.86
2023-01-01,09:05:00,09:02:00,WN,2501,ELP,0,0,,0,0,0,0,0,280.0,17.0,24.0,10.0,14.4,9.4,29.86
2023-01-01,09:10:00,09:13:00,WN,2699,OAK,0,0,,0,0,0,0,0,280.0,17.0,24.0,10.0,14.4,9.4,29.86
2023-01-01,09:15:00,09:20:00,WN,3797,PHX,0,0,,0,0,0,0,0,280.0,17.0,24.0,10.0,14.4,9.4,29.86
2023-01-01,09:25:00,09:27:00,WN,2340,RNO,0,0,,0,0,0,0,0,280.0,17.0,24.0,10.0,14.4,9.4,29.86
2023-01-01,09:30:00,09:30:00,OO,3316,SFO,0,0,,0,0,0,0,0,280.0,17.0,24.0,10.0,14.4,9.4,29.86
2023-01-01,09:35:00,09:31:00,WN,3203,DEN,0,0,,0,0,0,0,0,280.0,17.0,24.0,10.0,14.4,9.4,29.86
2023-01-01,09:40:00,09:39:00,WN,1045,HOU,0,0,,0,0,0,0,0,280.0,17.0,24.0,10.0,14.4,9.4,29.86
2023-01-01,09:50:00,09:46:00,WN,908,OAK,0,0,,0,0,0,0,0,280.0,17.0,24.0,10.0,14.4,9.4,29.86
2023-01-01,09:50:00,09:57:00,WN,2628,LAS,0,0,,0,0,0,0,0,280.0,17.0,24.0,10.0,14.4,9.4,29.86
2023-01-01,09:55:00,11:15:00,AA,720,PHX,1,0,,0,80,16,0,0,280.0,15.0,23.0,10.0,14.4,8.3,29.88
2023-01-01,10:00:00,10:20:00,WN,2450,SJC,1,0,,9,0,0,0,8,280.0,15.0,23.0,10.0,14.4,8.3,29.88
2023-01-01,10:00:00,09:58:00,AS,570,SEA,0,0,,0,0,0,0,0,280.0,15.0,23.0,10.0,14.4,8.3,29.88
2023-01-01,10:00:00,09:58:00,WN,1022,SMF,0,0,,0,0,0,0,0,280.0,15.0,23.0,10.0,14.4,8.3,29.88
2023-01-01,10:05:00,09:58:00,WN,3120,SFO,0,0,,0,0,0,0,0,280.0,15.0,23.0,10.0,14.4,8.3,29.88
2023-01-01,10:08:00,12:19:00,DL,2659,SLC,1,0,,0,0,0,0,128,280.0,15.0,23.0,10.0,14.4,8.3,29.88
2023-01-01,10:15:00,10:19:00,WN,1656,DAL,0,0,,0,0,0,0,0,280.0,15.0,23.0,10.0,14.4,8.3,29.88
2023-01-01,10:20:00,10:20:00,OO,3467,HDN,0,0,,0,0,0,0,0,280.0,15.0,23.0,10.0,14.4,8.3,29.88
2023-01-01,10:20:00,10:11:00,OO,3498,SJC,0,0,,0,0,0,0,0,280.0,15.0,23.0,10.0,14.4,8.3,29.88
2023-01-01,10:25:00,11:22:00,UA,2309,SFO,1,0,,49,0,0,0,0,280.0,15.0,23.0,10.0,14.4,8.3,29.88
2023-01-01,10:30:00,10:27:00,WN,3370,OAK,0,0,,0,0,0,0,0,280.0,15.0,23.0,10.0,14.4,8.3,29.88
2023-01-01,10:35:00,10:30:00,HA,57,OGG,0,0,,0,0,0,0,0,280.0,15.0,23.0,10.0,14.4,8.3,29.88
2023-01-01,10:35:00,10:29:00,WN,485,LAS,0,0,,0,0,0,0,0,280.0,15.0,23.0,10.0,14.4,8.3,29.88
2023-01-01,10:41:00,10:41:00,UA,2325,ORD,0,0,,0,0,0,0,0,280.0,15.0,23.0,10.0,14.4,8.3,29.88
2023-01-01,10:45:00,12:47:00,AS,899,KOA,1,0,,0,0,0,0,0,280.0,15.0,23.0,10.0,14.4,8.3,29.88
2023-01-01,10:46:00,10:43:00,OO,5249,LAX,0,0,,0,0,0,0,0,280.0,15.0,23.0,10.0,14.4,8.3,29.88
2023-01-01,10:47:00,10:42:00,AA,2743,DFW,0,0,,0,0,0,0,0,280.0,15.0,23.0,10.0,14.4,8.3,29.88
2023-01-01,10:50:00,10:56:00,WN,3439,SAT,0,0,,0,0,0,0,0,280.0,15.0,23.0,10.0,14.4,8.3,29.88
2023-01-01,10:55:00,10:56:00,OO,3489,MRY,0,0,,0,0,0,0,0,290.0,13.0,0.0,6.0,14.4,8.9,29.88
2023-01-01,11:00:00,12:32:00,WN,152,SJC,1,0,,0,0,4,0,92,290.0,13.0,0.0,6.0,14.4,8.9,29.88
2023-01-01,11:00:00,10:57:00,WN,2514,SMF,0,0,,0,0,0,0,0,290.0,13.0,0.0,6.0,14.4,8.9,29.88
