local_date,local_time,station_id,wind_dir_degrees,wind_speed_kt,wind_gust_kt,visibility_statute_mi,temperature_c,dewpoint_c,altimeter_hpa
12/31/22,16:10:03,KSAN,180.0,4.0,0.0,10.0,15.6,12.8,30.01
12/31/22,16:51:03,KSAN,160.0,6.0,0.0,8.0,15.6,13.3,30.0
12/31/22,17:51:03,KSAN,150.0,6.0,0.0,10.0,15.6,12.8,29.98
12/31/22,18:16:03,KSAN,140.0,10.0,0.0,10.0,15.6,12.8,29.97
12/31/22,18:38:03,KSAN,140.0,10.0,21.0,10.0,15.6,12.8,29.96
12/31/22,18:51:03,KSAN,150.0,11.0,0.0,10.0,15.6,12.8,29.95
12/31/22,19:35:03,KSAN,140.0,9.0,0.0,10.0,16.1,12.8,29.92
12/31/22,19:51:03,KSAN,150.0,9.0,0.0,10.0,16.1,12.8,29.92
12/31/22,20:51:03,KSAN,160.0,7.0,0.0,10.0,16.1,12.2,29.91
12/31/22,21:20:03,KSAN,170.0,6.0,0.0,10.0,16.1,12.2,29.91
12/31/22,21:51:03,KSAN,180.0,11.0,17.0,7.0,16.1,12.8,29.9
12/31/22,22:01:03,KSAN,180.0,10.0,0.0,4.0,15.6,13.3,29.9
12/31/22,22:27:03,KSAN,160.0,13.0,0.0,4.0,15.6,13.9,29.87
12/31/22,22:31:03,KSAN,170.0,17.0,23.0,4.0,15.6,13.9,29.87
12/31/22,22:34:03,KSAN,170.0,15.0,23.0,5.0,15.6,13.3,29.87
12/31/22,22:51:03,KSAN,160.0,15.0,22.0,10.0,15.6,13.3,29.86
12/31/22,23:00:03,KSAN,170.0,13.0,21.0,10.0,15.6,13.3,29.87
12/31/22,23:21:03,KSAN,160.0,13.0,25.0,5.0,15.6,13.3,29.85
12/31/22,23:38:03,KSAN,180.0,12.0,22.0,4.0,15.0,13.9,29.85
12/31/22,23:51:03,KSAN,180.0,14.0,23.0,4.0,15.0,13.9,29.85
01/01/23,00:44:02,KSAN,180.0,15.0,24.0,2.5,15.0,13.9,29.82
01/01/23,00:47:02,KSAN,180.0,16.0,22.0,2.5,15.0,14.0,29.83
01/01/23,00:51:02,KSAN,180.0,18.0,24.0,2.0,15.0,13.3,29.83
01/01/23,00:54:02,KSAN,170.0,19.0,24.0,1.75,15.0,13.3,29.82
01/01/23,01:03:02,KSAN,190.0,14.0,25.0,2.0,15.0,13.9,29.82
01/01/23,01:26:02,KSAN,190.0,15.0,26.0,3.0,15.0,13.3,29.81
01/01/23,01:31:02,KSAN,200.0,13.0,26.0,2.5,15.0,13.9,29.81
01/01/23,01:36:02,KSAN,190.0,15.0,23.0,3.0,15.0,13.9,29.81
01/01/23,01:49:02,KSAN,190.0,11.0,19.0,2.5,15.0,14.0,29.81
01/01/23,01:51:02,KSAN,200.0,11.0,19.0,2.5,15.0,13.9,29.81
01/01/23,01:56:02,KSAN,180.0,10.0,0.0,3.0,15.6,13.9,29.8
01/01/23,02:02:02,KSAN,180.0,10.0,0.0,4.0,15.6,13.9,29.79
01/01/23,02:19:02,KSAN,180.0,14.0,0.0,3.0,15.6,13.9,29.78
